,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
6,524.24656922,751.39342248,4.0,4281.21368162,524.24656922,3756.9671124,1.0,5.0,524.24656922,3752.9357524,1*m/z A + 5*m/z B,0.08882161999918026,0.0,,,,,,,,,,,6,1
4,636.28850575,751.6441405,116.0,4279.1535735,1272.5770115,3006.576562,2.0,4.0,1271.5691715,3003.553042,2*m/z A + 4*m/z B,0.02871349999895756,0.0,0,0.015351499999951557,1271.55382,0.0,b12,+4,0.0023980000005394686,3003.5554400000005,4.0,y24,4,1
3,677.61105152,783.37078663,199.0,4277.18577934,2710.44420608,1566.74157326,4.0,2.0,2707.42068608,1565.73373326,4*m/z A + 2*m/z B,0.0609193399996002,0.0,+5,0.005643920000238722,2707.4263300000002,5.0,y21,,,,,,2,3
1,797.90985561,1085.49390093,365.0,4277.133323370001,3191.63942244,1085.49390093,4.0,1.0,3188.61590244,1085.49390093,4*m/z A + 1*m/z B,0.008463369999844872,0.0,+3,0.00023756000109642628,3188.616140000001,3.0,y26,0,0.004130929999973887,1085.4897700000001,0.0,b10,2,3
0,309.11922677,793.4031283,410.0,4276.13486827,309.11922677,3967.0156415,1.0,5.0,309.11922677,3962.9842815,1*m/z A + 5*m/z B,0.010008269999161712,0.0,,,,,,,,,,,1,1
2,597.33310313,828.39009665,563.0,4277.169599340001,1791.9993093900002,2485.17028995,3.0,3.0,1789.9836293900003,2483.15460995,3*m/z A + 3*m/z B,0.044739339999978256,0.0,,,,,,,,,,,2,3
5,314.19012211,912.93020233,675.0,4280.10105354,628.38024422,3651.72080932,2.0,4.0,627.37240422,3648.69728932,2*m/z A + 4*m/z B,0.023806460000741936,0.0,+6,0.005625779999945735,627.37803,6.0,y4,,,,,,5,1
7,554.75472327,744.07438699,961.0,4275.12665822,554.75472327,3720.3719349499997,1.0,5.0,554.75472327,3716.34057495,1*m/z A + 5*m/z B,0.0017982199988182401,0.0,,,,,,,,,,,parent,1
