,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
47,616.842268,1268.093972,44,3769.87248,2,2,y10+1,b23+1,1.99999999999991,"b+1, y+1",0.005275999999867054,0.015193999999610242,0.021649999999226566,1232.6714200000001,2535.16491
53,918.003403,966.932342,49,3769.87149,2,2,y15+1,b18+1,1.99999999999991,"b+1, y+1",0.009915999999975611,0.009564000000182205,0.020659999999224965,1834.9890500000001,1932.8472799999997
58,647.250748,1237.685092,56,3769.87168,2,2,b12+1,y21+1,1.99999999999991,"b+1, y+1",0.0055360000001201115,0.014133999999103253,0.020849999999427382,1293.48812,2474.3482100000006
67,845.730494,1232.679204,66,3769.870686,3,1,b23+1,y10+1,1.99999999999991,"b+1, y+1",0.010892000000239932,0.007783999999901425,0.01985599999943588,2535.16491,1232.6714200000001
77,882.484263,1002.451001,78,3769.8705280000004,2,2,y14+1,b19+1,1.99999999999991,"b+1, y+1",0.00874599999997372,0.009772000000339176,0.01969799999960742,1763.9519400000001,2003.8843899999997
84,559.820352,1325.115834,85,3769.872372,2,2,y9+1,b24+1,1.99999999999991,"b+1, y+1",0.004373999999870648,0.015987999999651947,0.021541999999044492,1118.62849,2649.20784
91,932.554952,945.772274,92,3769.871774,1,3,y8+1,b25+1,1.99999999999991,"b+1, y+1",0.005771999999865329,0.01399200000014389,0.02094399999941743,932.5491800000001,2835.28715
102,410.238225,1474.699264,106,3769.8749780000003,2,2,y7+1,b26+1,1.99999999999991,"b+1, y+1",0.0034899999999424836,0.019477999999708118,0.02414799999951356,819.4651200000001,2948.3712100000002
110,539.704971,1345.231995,115,3769.8739320000004,2,2,b10+1,y23+1,1.99999999999991,"b+1, y+1",0.004592000000002372,0.01732999999921958,0.023101999999653344,1078.39751,2689.4388200000008
122,817.84918,1067.085992,136,3769.870344,2,2,b15+1,y18+1,1.99999999999991,"b+1, y+1",0.0073400000003402965,0.010993999999755033,0.01951399999916248,1634.6831799999998,2133.15315
131,883.745171,1118.6357,151,3769.8712130000004,3,1,b24+1,y9+1,1.99999999999991,"b+1, y+1",0.011993000000074971,0.007209999999986394,0.020382999999583262,2649.20784,1118.62849
136,466.780285,1418.156315,159,3769.8732,2,2,y8+1,b25+1,1.99999999999991,"b+1, y+1",0.003549999999904685,0.017639999999573774,0.02236999999922773,932.5491800000001,2835.28715
138,236.097145,1177.924993,161,3769.8721240000004,1,3,y2+1,b31+1,1.99999999999991,"b+1, y+1",0.0013650000000211548,0.018748999999843363,0.021293999999670632,236.09578,3531.7405500000004
151,673.3845,1211.550859,183,3769.870718,2,2,y11+1,b22+1,1.99999999999991,"b+1, y+1",0.00567999999998392,0.013027999999849271,0.019887999999355088,1345.75548,2422.08085
152,596.726614,1288.208948,184,3769.8711240000002,2,2,b11+1,y22+1,1.99999999999991,"b+1, y+1",0.004948000000013053,0.01416599999902246,0.020293999999466905,1192.44044,2575.3958900000007
182,804.432863,1080.502759,226,3769.871244,2,2,y13+1,b20+1,1.99999999999991,"b+1, y+1",0.007055999999920459,0.012177999999948952,0.020413999999163934,1607.85083,2159.9855
215,578.325551,1063.848577,334,3769.871282,1,3,y5+1,b28+1,1.99999999999991,"b+1, y+1",0.0030709999999771753,0.016200999999909982,0.020451999999295367,578.32248,3189.5138500000003
226,897.155745,1078.403681,399,3769.870916,3,1,y23+1,b10+1,1.99999999999991,"b+1, y+1",0.01273499999933847,0.0061709999999948195,0.02008599999908256,2689.4388200000008,1078.39751
236,474.183898,1410.751853,447,3769.871502,2,2,b9+1,y24+1,1.99999999999991,"b+1, y+1",0.002936000000090644,0.01655599999912738,0.020671999999194668,947.3570199999999,2820.4793100000006
241,349.181847,1140.230185,521,3769.8724019999995,1,3,y3+1,b30+1,1.99999999999991,"b+1, y+1",0.0020069999999918764,0.018384999999398133,0.021571999998741376,349.17984,3418.6564900000003
279,940.836838,947.362187,1738,3769.8727009999993,3,1,y24+1,b9+1,1.99999999999991,"b+1, y+1",0.015523999999004445,0.005167000000028565,0.021870999998554908,2820.4793100000006,947.3570199999999
0,476.274275,1097.865943,1,3769.872104,1,3,y4,b29+2,1.99999999999991,b+2,0.002824999999972988,0.017268999999942025,0.02127399999926638,476.27145,3291.5648800000004
3,705.381744,1021.496318,4,3769.8706979999997,1,3,y6,b27+2,1.99999999999991,b+2,0.004033999999933258,0.014653999999609368,0.019867999998950836,705.3777100000001,3062.4586200000003
