Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
72,,485.26,733.54,,631.9401323324498,315.50219305461366,
73,,505.13,822.35,,1246.5425300539046,313.52188405732073,
74,,607.46,1123.0,,2579.481857773109,310.5369238819703,
75,a5-2(H2O)(1+),399.93,804.58,y9-(HCOH)-(HCOH)(1+),1243.9681346947773,309.8495081933979,0.777
76,bi(5-7)-(HCOH)(1+),285.74,359.35,b4-(NH3)(1+),1375.9471765453004,308.26413291124027,0.607
,y3-2(NH3)(1+),285.74,359.35,b4-(NH3)(1+),1375.9471765453004,308.26413291124027,0.655
77,,576.77,692.14,,1864.2218401291705,306.30135223767746,
78,b6(1+),520.06,565.74,y7-(HN=C=NH)-(HCOH)(1+),1267.8781790162614,306.13998644448793,0.496
79,,365.9,618.43,,1462.0076390166973,305.6644598979202,
80,,655.39,1296.31,,1911.7369333979314,305.61724777531,
81,,446.0,591.91,,2030.7984158654983,305.1183297130504,
82,,485.35,790.33,,1329.4387325009318,303.66369093827177,
83,,214.94,640.67,,2913.524885690115,303.49471154984684,
84,y7-(H2O)(1+),618.99,673.79,b7-(NH3)(1+),1993.1425315428592,300.75708137186825,0.571
85,,318.67,855.94,,724.9336195143724,299.9413345864859,
86,b5-(NH3)(1+),446.06,484.21,ai(6-11)-2(NH3)(1+),1397.0370377285235,299.8302991020622,0.112
87,,638.98,974.38,,2314.9588371768527,299.21037975194986,
88,,917.54,1154.14,,1274.4263523951972,298.8174806654437,
89,,408.94,635.54,,2980.071768992695,297.5648258007056,
90,,485.82,534.45,,1646.534833137436,294.4558694964674,
91,,400.06,673.18,,833.4048350934975,293.42832078865814,
92,ai(7-10)(1+),403.98,428.59,a6-2(NH3)-(HCOH)(1+),1596.3856732399677,293.2147441478824,0.511
93,,314.62,1170.74,,1295.4299580851646,292.729176988465,
94,,394.94,568.67,,1356.591711298916,291.2935131478066,
95,,523.48,1067.07,,2140.124423263978,291.2046079615624,
96,,491.04,891.59,,1224.64770993901,290.56730423238696,
97,b5(1+),462.73,847.12,y9-(NH3)(1+),1769.2213604059925,290.1848457609623,0.549
98,,796.46,1065.14,,636.4445719569998,289.7762360930237,
99,,347.97,424.12,,1237.256410393159,289.59353273295307,
100,ai(2-5)-(NH3)(1+),361.78,847.47,y9-(NH3)(1+),866.8875178105188,289.09738268398246,0.632
101,ai(5-7)-(NH3)-(HCOH)(1+),240.61,606.89,y7-(HCOH)(1+),1208.7155717431676,289.0411699832754,0.624
102,,485.37,690.69,,2192.8966795360016,288.8125057619902,
103,,615.57,919.24,,1343.6582378180776,287.02986002629814,
104,b6(1+),519.59,790.43,y8-(NH3)(1+),1099.358644547213,284.3915735545594,0.631
105,,585.41,598.23,,1756.0029865522818,283.92690198474446,
106,,585.59,804.36,,1363.8061782439195,283.3180042488024,
107,,847.33,991.8,,825.5229052533184,282.80875473268526,
108,,614.9,731.31,,1588.4244793732632,282.31998671739683,
109,,580.33,963.16,,1265.8863892926645,282.122471286445,
110,,903.14,1171.24,,1702.3805500111491,280.5750071136875,
111,,473.12,635.66,,4073.0698085684985,280.01364796977805,
112,a5-(HCOH)(1+),404.64,541.5,ai(6-12)-2(NH3)(1+),2370.669258990977,280.01239321429813,0.595
113,bi(2-4)-(NH3)(1+),302.23,934.72,y10-(NH3)(1+),1772.6525081225996,278.9829099677469,0.295
,y3-(NH3)(1+),302.23,934.72,b10-(NH3)(1+),1772.6525081225996,278.9829099677469,0.31
,y3-(NH3)(1+),302.23,934.72,bi(2-11)-(NH3)(1+),1772.6525081225996,278.9829099677469,0.31
114,,734.39,847.44,,1059.7248354899743,278.4930950302291,
115,,1065.64,1123.66,,733.3537467996185,277.52492885517654,
116,,627.12,1136.53,,3240.0159840747497,276.9680955590101,
117,,587.44,891.28,,806.0427322577806,276.6075146750609,
118,,319.89,1153.76,,2153.1265806364586,275.2392565919359,
119,ai(3-7)-(HCOH)-(HCOH)(1+),488.2,606.8,y7-(HCOH)(1+),2355.405059927834,275.0515457985842,0.505
120,,433.66,491.27,,1444.6364927361212,274.1322605863393,
121,,399.42,1065.59,,1039.480387732382,274.117887682752,
122,,347.6,806.13,,1599.1781477068325,273.2603005964176,
123,,598.98,795.18,,1587.1125992660898,272.857602553794,
124,,618.47,751.37,,1316.0509454840692,272.7522667200834,
125,,502.72,1009.43,,1595.242500639349,271.1379905242692,
126,,414.99,951.07,,1084.7349773393025,270.3536544535213,
127,,626.96,924.23,,3159.602691515896,270.138804564098,
128,,1008.24,1082.71,,1238.2254905184695,270.03019728884607,
129,,550.63,993.11,,1077.0888176182957,270.01308441047905,
130,,598.54,1095.38,,1427.2037157288426,269.840758512504,
131,,532.35,748.63,,848.9505698384208,268.600570213728,
132,y3(1+),318.77,916.84,a11-2(NH3)-(HCOH)(1+),854.8266639042394,268.52721746168294,0.595
,y3(1+),318.77,916.84,b10-2(NH3)(1+),854.8266639042394,268.52721746168294,0.68
,y3(1+),318.77,916.84,bi(2-11)-2(NH3)(1+),854.8266639042394,268.52721746168294,0.68
,bi(2-4)(1+),318.77,916.84,y10-2(NH3)(1+),854.8266639042394,268.52721746168294,0.688
133,ai(8-12)-(HCOH)(1+),318.1,691.04,b7(1+),1595.949064100809,268.0866756546364,0.712
,a4-(HCOH)(1+),318.1,691.04,bi(5-12)(1+),1595.949064100809,268.0866756546364,0.712
134,,395.3,518.91,,1117.4679821016862,267.98784494101596,
135,b3(1+),228.8,920.31,y10-(CH3NH2)(1+),1129.6455616847863,267.9677370074033,0.314
,y2-2(NH3)(1+),228.8,920.31,bi(3-12)-(CH3NH2)(1+),1129.6455616847863,267.9677370074033,0.706
,y2-2(NH3)(1+),228.8,920.31,b10-(CH3NH2)(1+),1129.6455616847863,267.9677370074033,0.706
,y2-2(NH3)(1+),228.8,920.31,a11-(HCOH)-(HCOH)(1+),1129.6455616847863,267.9677370074033,0.712
,y2-2(NH3)(1+),228.8,920.31,ai(2-12)-(HCOH)-(HCOH)(1+),1129.6455616847863,267.9677370074033,0.712
,bi(3-4)-2(NH3)(1+),228.8,920.31,y10-(CH3NH2)(1+),1129.6455616847863,267.9677370074033,0.74
136,a6-2(NH3)-(HCOH)(1+),428.31,790.36,y8-(NH3)(1+),1143.0296528528493,267.198695643141,0.165
137,,399.92,691.34,,1073.10965922849,267.07684068201513,
138,,598.87,1117.02,,1378.575514065894,266.93066144568036,
139,y6(1+),580.88,614.74,a7-(H2O)-(HCOH)(1+),2546.189918731107,266.7963725938567,0.738
,y6(1+),580.88,614.74,ai(2-8)-(H2O)-(HCOH)(1+),2546.189918731107,266.7963725938567,0.738
140,,506.76,934.94,,1721.2394544975903,266.77591526840513,
141,,320.37,459.02,,1095.7813885953872,265.62139656319926,
142,bi(8-11)-(NH3)(1+),302.01,615.11,a7-(NH3)-(HCOH)(1+),1522.3697933954468,264.77996821401945,0.215
,y3-(NH3)(1+),302.01,615.11,a7-(NH3)-(HCOH)(1+),1522.3697933954468,264.77996821401945,0.236
,y3-(NH3)(1+),302.01,615.11,bi(5-11)-(H2O)(1+),1522.3697933954468,264.77996821401945,0.236
143,,445.4,1049.25,,1163.1527372594974,264.70269110678413,
144,,654.85,1024.58,,2601.4904391585637,264.4915307112746,
145,a5-2(NH3)(1+),401.01,476.05,y5-(NH3)-(HCOH)(1+),1468.5742704083966,264.32008916710464,0.222
,ai(5-9)(1+),401.01,476.05,y5-(NH3)-(HCOH)(1+),1468.5742704083966,264.32008916710464,0.277
146,,567.89,614.32,,1628.0520381579997,264.26626779688166,
147,,382.71,847.31,,749.1091169405234,263.99948829784535,
148,,563.98,1134.18,,1501.552238828768,263.4055976774336,
149,,284.96,1009.33,,940.7778659525045,263.1883584894527,
150,,358.87,1081.9,,1170.4802483207347,263.13205138038467,
151,,568.65,923.68,,1438.035646177314,262.6551065637554,
152,,545.29,1009.19,,1300.2500240690208,262.6384663483038,
153,,607.07,838.35,,1205.812247697117,261.389078570073,
154,,691.4,990.86,,982.0594809751967,261.01039578217865,
155,,607.12,901.74,,1097.5343000835653,260.9688149557642,
156,,403.73,756.77,,1032.0189447133912,260.8850585311076,
157,,751.68,791.03,,1005.048583333817,260.4962287997786,
158,,876.98,1170.45,,1809.3589454059127,260.46804270442937,
159,,445.43,535.3,,1212.8529054530402,260.078542423428,
160,,626.33,717.25,,1426.773214361314,258.7088083785095,
161,,359.28,1134.44,,1554.5731931605803,258.29552700262843,
162,y4-(H2O)(1+),358.58,502.91,b6-(NH3)(1+),1405.745043325081,258.030441022557,0.488
,y4-(NH3)(1+),358.58,502.91,b6-(NH3)(1+),1405.745043325081,258.030441022557,0.653
163,,297.85,690.71,,1234.4121146788448,256.8226625761941,
164,,576.64,805.73,,1499.9166197788402,256.54082457716294,
165,,891.99,1084.48,,885.7555226850295,255.5839749518326,
166,b5-2(H2O)(1+),427.64,804.54,y9-(HCOH)-(HCOH)(1+),1109.2779009391238,255.52643521079585,0.485
167,,261.38,1065.2,,725.8552597182171,254.74361612832888,
168,,515.81,691.17,,1162.8751332185611,254.63534714251526,
169,,567.84,1125.32,,1362.552087618132,254.44246717638777,
170,,545.44,920.09,,1251.0729107268362,254.3306818972788,
171,ai(3-7)-(NH3)-(HCOH)(1+),501.54,606.71,y7-(HCOH)(1+),1856.1669726137434,253.84111107253847,0.657
172,,358.98,935.69,,2114.6317948917776,253.46649832487324,
173,,934.76,1050.66,,1151.3307443684655,253.17117430674492,
174,,528.33,934.75,,1532.3837936451018,253.09388406497285,
175,,1082.37,1170.88,,1653.5382339009343,252.7115572107952,
176,,606.78,1170.0,,2532.0296524055116,252.57785682690115,
177,,524.51,825.45,,726.2172227382588,252.21931449678263,
178,,545.26,639.03,,2713.371953560739,251.52790370788549,
179,,569.63,1170.68,,2078.8576417075824,251.42909806000213,
180,,467.13,809.27,,1227.6502657652861,250.96699940407035,
181,,643.03,1152.99,,3509.911856070064,250.79802085192046,
182,,346.92,1085.19,,534.3481996543009,250.5335311997976,
183,,864.03,935.96,,710.6468830028243,250.25195869710478,
184,y3-(H2O)(1+),300.96,921.12,b10-(HCOH)(1+),1181.0136073559993,249.4180503280775,0.369
,y3-(H2O)(1+),300.96,921.12,bi(2-11)-(HCOH)(1+),1181.0136073559993,249.4180503280775,0.369
,a4-(NH3)-(HCOH)(1+),300.96,921.12,y10-(HCOH)(1+),1181.0136073559993,249.4180503280775,0.385
,bi(2-4)-(H2O)(1+),300.96,921.12,y10-(HCOH)(1+),1181.0136073559993,249.4180503280775,0.389
,a4-(NH3)-(HCOH)(1+),300.96,921.12,y10-(CH3NH2)(1+),1181.0136073559993,249.4180503280775,0.708
,y3-(H2O)(1+),300.96,921.12,a11-(HCOH)-(HCOH)(1+),1181.0136073559993,249.4180503280775,0.709
,bi(2-4)-(H2O)(1+),300.96,921.12,y10-(CH3NH2)(1+),1181.0136073559993,249.4180503280775,0.711
,y3-(H2O)(1+),300.96,921.12,bi(2-11)-(CH3NH2)(1+),1181.0136073559993,249.4180503280775,0.747
,y3-(H2O)(1+),300.96,921.12,b10-(CH3NH2)(1+),1181.0136073559993,249.4180503280775,0.747
185,,347.17,1065.08,,1739.5358247538707,249.35511497892185,
186,,535.41,689.83,,1022.8336172113542,249.01196070055474,
187,,467.05,934.02,,1783.1399290061725,248.44159779348,
188,,627.77,763.33,,1227.3610044216364,247.72969529610617,
189,,467.74,522.75,,2671.684191750566,247.3210275481791,
190,,227.77,648.88,,3838.850688492192,247.13291277469912,
191,,646.71,806.53,,5286.517176524171,246.70336389749053,
192,,376.43,1153.69,,2541.5773220340557,246.5884186607781,
193,,320.76,617.36,,1566.4040794971768,246.1446441148435,
194,,621.14,796.33,,861.6785467458724,245.26932300872588,
195,b5-(HCOH)(1+),432.78,516.64,bi(6-11)-(HCOH)(1+),1754.8545476289617,244.53507000126874,0.545
,b5-(HCOH)(1+),432.78,516.64,y6-2(NH3)-(HCOH)(1+),1754.8545476289617,244.53507000126874,0.58
,a6-(HCOH)-(HCOH)(1+),432.78,516.64,bi(7-12)-(HCOH)(1+),1754.8545476289617,244.53507000126874,0.696
,a6-(HCOH)-(HCOH)(1+),432.78,516.64,y6-2(NH3)-(HCOH)(1+),1754.8545476289617,244.53507000126874,0.724
196,,589.59,925.11,,1114.4444928395437,243.8215656768344,
197,,512.9,581.4,,1045.6070796373544,243.07846108266062,
198,,485.29,524.6,,1327.9923091102903,242.8575556661985,
199,ai(2-6)-2(NH3)(1+),400.48,790.31,y8-(NH3)(1+),854.1673188581422,242.81889994929378,0.666
,a5-2(NH3)(1+),400.48,790.31,y8-(NH3)(1+),854.1673188581422,242.81889994929378,0.666
200,,1081.88,1134.98,,1068.8845600901445,242.66772940683353,
201,,547.89,646.97,,3231.908515060743,242.58089361768722,
202,,290.32,618.1,,1874.8004175256303,242.5320759707213,
203,y2-(NH3)(1+),244.78,1065.24,b12(1+),681.3967185644866,242.20732190569674,0.43
,y2-(H2O)(1+),244.78,1065.24,b12(1+),681.3967185644866,242.20732190569674,0.687
204,,325.08,598.52,,982.2972131598198,241.58691430005612,
205,,385.95,606.5,,1053.8836403664245,241.50560213102867,
206,,439.62,611.02,,797.8350120192193,241.22029744338744,
207,y4(1+),376.07,395.94,bi(7-10)-2(H2O)(1+),1849.8478538776556,241.1947321480848,0.295
,y4(1+),376.07,395.94,ai(6-10)-2(H2O)-(HCOH)(1+),1849.8478538776556,241.1947321480848,0.72
,b4(1+),376.07,395.94,bi(5-9)-2(NH3)(1+),1849.8478538776556,241.1947321480848,0.775
208,y3-(H2O)(1+),301.62,587.13,ai(5-11)-(H2O)(1+),1043.7269982949315,240.90794781384372,0.49
