,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
423,353.194059,1532.743919,2427,3771.875956,706.388118,3065.487838,2,2,705.380278,3064.479998,2*m/z A + 2*m/z B,0.03182599999900049,0.0,+3,0.08608800000001793,705.29419,3.0,b7,+1,0.06884200000104101,3064.548840000001,1.0,y26,4,66
424,353.194059,1532.743919,2427,3771.875956,706.388118,3065.487838,2,2,705.380278,3064.479998,2*m/z A + 2*m/z B,0.03182599999900049,0.0,+3,0.08608800000001793,705.29419,3.0,b7,+4,0.014677999999548774,3064.4653200000002,4.0,b27,4,66
302,804.432863,1081.003689,2449,3770.873104,1608.865726,2162.007378,2,2,1607.857886,2160.9995379999996,2*m/z A + 2*m/z B,0.028973999998925137,0.0,+1,0.007055999999920459,1607.85083,1.0,y13,+2,0.010687999999845488,2160.9888499999997,2.0,b20,3,92
264,930.968234,945.772274,2472,3768.285056,930.968234,2837.3168220000002,1,3,930.968234,2835.3011420000003,1*m/z A + 3*m/z B,0.44092599999930826,0.0,,,,,,,,,,,parent,52
474,942.467165,942.979349,2707,3771.4052119999997,942.467165,2828.9380469999996,1,3,942.467165,2826.9223669999997,1*m/z A + 3*m/z B,0.43891800000119474,0.0,,,,,,,,,,,4,66
363,942.467165,942.979349,2707,3770.893028,1884.93433,1885.958698,2,2,1883.92649,1884.950858,2*m/z A + 2*m/z B,0.04889799999909883,0.0,,,,,,,,,,,3,92
248,559.319043,1324.614753,2817,3767.867592,1118.638086,2649.229506,2,2,1117.630246,2648.221666,2*m/z A + 2*m/z B,0.02346199999919918,0.0,0,0.005105999999841515,1117.62514,0.0,y9,0,0.017175999999835767,2648.20449,0.0,b24,parent,52
215,931.913984,1419.158458,2896,3770.2309000000005,931.913984,2838.316916,1,2,931.913984,2837.309076,1*m/z A + 2*m/z B,0.3867699999996148,0.0,0,0.3681539999998904,931.5458300000001,0.0,y8,+3,0.015225999999984197,2837.29385,3.0,b25,2,101
447,466.780285,1419.158458,2924,3771.8774860000003,933.56057,2838.316916,2,2,932.55273,2837.309076,2*m/z A + 2*m/z B,0.03335599999945771,0.0,+1,0.003549999999904685,932.5491800000001,1.0,y8,+3,0.015225999999984197,2837.29385,3.0,b25,4,66
427,707.387051,1021.496318,2966,3771.876005,707.387051,3064.488954,1,3,707.387051,3062.473274,1*m/z A + 3*m/z B,0.031874999999217835,0.0,+5,0.086161000000061,707.30089,5.0,b7,+2,0.014653999999609368,3062.4586200000003,2.0,b27,4,66
426,707.387051,1021.496318,2966,3771.876005,707.387051,3064.488954,1,3,707.387051,3062.473274,1*m/z A + 3*m/z B,0.031874999999217835,0.0,+2,0.0026409999999259526,707.3844100000001,2.0,y6,+2,0.014653999999609368,3062.4586200000003,2.0,b27,4,66
405,883.956678,1001.949824,3045,3771.813004,1767.913356,2003.899648,2,2,1766.905516,2002.891808,2*m/z A + 2*m/z B,0.031126000000767817,0.0,+4,0.056474000000207525,1766.9619900000002,4.0,y14,0,0.010768000000325628,2002.8810399999998,0.0,b19,4,66
469,938.214337,944.447173,3061,3771.555856,938.214337,2833.341519,1,3,938.214337,2831.325839,1*m/z A + 3*m/z B,0.28827400000091075,0.0,,,,,,,,,,,4,66
406,704.794875,1181.14284,3103,3771.87543,1409.58975,2362.28568,2,2,1408.58191,2361.2778399999997,2*m/z A + 2*m/z B,0.03129999999919164,0.0,+3,0.0030300000000806904,1408.57888,3.0,b13,+1,0.01368999999931475,2361.2641500000004,1.0,y20,4,66
458,706.384701,1021.844329,3160,3771.917688,706.384701,3065.532987,1,3,706.384701,3063.517307,1*m/z A + 3*m/z B,0.0735579999991387,0.0,+4,0.08716099999992366,706.29754,4.0,b7,0,0.028183000000808534,3063.545490000001,0.0,y26,4,66
457,706.384701,1021.844329,3160,3771.917688,706.384701,3065.532987,1,3,706.384701,3063.517307,1*m/z A + 3*m/z B,0.0735579999991387,0.0,+1,0.0036409999999023057,706.38106,1.0,y6,+3,0.055336999999781256,3063.4619700000003,3.0,b27,4,66
456,706.384701,1021.844329,3160,3771.917688,706.384701,3065.532987,1,3,706.384701,3063.517307,1*m/z A + 3*m/z B,0.0735579999991387,0.0,+1,0.0036409999999023057,706.38106,1.0,y6,0,0.028183000000808534,3063.545490000001,0.0,y26,4,66
459,706.384701,1021.844329,3160,3771.917688,706.384701,3065.532987,1,3,706.384701,3063.517307,1*m/z A + 3*m/z B,0.0735579999991387,0.0,+4,0.08716099999992366,706.29754,4.0,b7,+3,0.055336999999781256,3063.4619700000003,3.0,b27,4,66
455,909.709067,954.02316,3225,3771.778547,909.709067,2862.06948,1,3,909.709067,2860.0538,1*m/z A + 3*m/z B,0.06558300000097006,0.0,,,,,,,,,,,4,66
428,918.504816,967.43323,3227,3771.876092,1837.009632,1934.86646,2,2,1836.001792,1933.85862,2*m/z A + 2*m/z B,0.03196199999911187,0.0,+2,0.009391999999934342,1835.9924,2.0,y15,+2,0.00799000000029082,1933.8506299999997,2.0,b18,4,66
246,353.194059,1530.739321,3246,3767.86676,706.388118,3061.478642,2,2,705.380278,3060.470802,2*m/z A + 2*m/z B,0.02262999999902604,0.0,0,0.002567999999882886,705.3777100000001,0.0,y6,0,0.018881999999393884,3060.4519200000004,0.0,b27,parent,52
328,474.183898,1411.25315,3296,3770.874096,948.367796,2822.5063,2,2,947.359956,2821.49846,2*m/z A + 2*m/z B,0.029965999999149062,0.0,+1,0.002936000000090644,947.3570199999999,1.0,b9,+2,0.015799999999217107,2821.4826600000006,2.0,y24,3,92
212,937.713986,947.362187,3367,3770.152346,1875.427972,1894.724374,2,2,1874.420132,1893.716534,2*m/z A + 2*m/z B,0.30821599999899263,0.0,,,,,,,,,,,2,101
361,902.207794,1064.182766,3554,3770.806148,2706.623382,1064.182766,3,1,2704.6077020000002,1064.182766,3*m/z A + 1*m/z B,0.03798200000073848,0.0,,,,,,,,,,,3,92
92,720.669845,1163.606102,3802,3768.551894,1441.33969,2327.212204,2,2,1440.33185,2326.2043639999997,2*m/z A + 2*m/z B,0.2922360000006847,0.0,,,,,,,,,,,1,86
249,466.278915,1417.655177,4099,3767.868184,932.55783,2835.310354,2,2,931.54999,2834.302514,2*m/z A + 2*m/z B,0.024053999999068765,0.0,0,0.004159999999842512,931.5458300000001,0.0,y8,0,0.018713999999818043,2834.2838,0.0,b25,parent,52
461,939.766865,946.106347,4140,3771.746424,1879.53373,1892.212694,2,2,1878.5258900000001,1891.204854,2*m/z A + 2*m/z B,0.097706000000926,0.0,,,,,,,,,,,4,66
261,934.210524,944.447173,4277,3767.552043,934.210524,2833.341519,1,3,934.210524,2831.325839,1*m/z A + 3*m/z B,0.29208700000071985,0.0,,,,,,,,,,,parent,52
222,938.476008,945.437938,4360,3767.8278920000002,1876.952016,1890.875876,2,2,1875.944176,1889.868036,2*m/z A + 2*m/z B,0.016238000000612374,0.0,,,,,,,,,,,parent,52
449,466.278915,1419.659921,4363,3771.8776719999996,932.55783,2839.319842,2,2,931.54999,2838.3120019999997,2*m/z A + 2*m/z B,0.03354199999876073,0.0,0,0.004159999999842512,931.5458300000001,0.0,y8,+4,0.014801999999690452,2838.2972,4.0,b25,4,66
265,938.476008,942.968225,4406,3767.380683,938.476008,2828.9046749999998,1,3,938.476008,2826.888995,1*m/z A + 3*m/z B,0.4634470000009969,0.0,,,,,,,,,,,parent,52
80,930.471734,1419.158458,4407,3768.7886500000004,930.471734,2838.316916,1,2,930.471734,2837.309076,1*m/z A + 2*m/z B,0.0554800000004434,0.0,,,,,,+3,0.015225999999984197,2837.29385,3.0,b25,1,86
91,1182.145538,1293.495361,4420,3769.13626,1182.145538,2586.990722,1,2,1182.145538,2585.982882,1*m/z A + 2*m/z B,0.29212999999936073,0.0,,,,,,,,,,,1,86
4,1077.400566,1345.732827,4468,3768.86622,1077.400566,2691.465654,1,2,1077.400566,2690.457814,1*m/z A + 2*m/z B,0.022089999999025167,0.0,0,0.006405999999969936,1077.39416,0.0,b10,+2,0.015643999999156222,2690.4421700000007,2.0,y23,1,86
435,882.98564,1002.95252,4521,3771.8763200000003,1765.97128,2005.90504,2,2,1764.96344,2004.8972,2*m/z A + 2*m/z B,0.03218999999944572,0.0,+2,0.008149999999886859,1764.95529,2.0,y14,+2,0.00946000000044478,2004.8877399999997,2.0,b19,4,66
127,883.41091,1119.63772,4588,3769.8704499999994,2650.2327299999997,1119.63772,3,1,2648.2170499999997,1119.63772,3*m/z A + 1*m/z B,0.02631999999857726,0.0,0,0.012559999999666616,2648.20449,0.0,b24,+2,0.005879999999933716,1119.63184,2.0,y9,2,101
104,818.466536,1475.69991,4770,3769.866356,818.466536,2951.39982,1,2,818.466536,2950.39198,1*m/z A + 2*m/z B,0.022225999999136548,0.0,+1,0.1521060000001171,818.3144299999999,1.0,b8,+3,0.014069999999719585,2950.37791,3.0,b26,2,101
103,818.466536,1475.69991,4770,3769.866356,818.466536,2951.39982,1,2,818.466536,2950.39198,1*m/z A + 2*m/z B,0.022225999999136548,0.0,+1,0.1521060000001171,818.3144299999999,1.0,b8,+2,0.13327000000072076,2950.5252500000006,2.0,y25,2,101
101,818.466536,1475.69991,4770,3769.866356,818.466536,2951.39982,1,2,818.466536,2950.39198,1*m/z A + 2*m/z B,0.022225999999136548,0.0,0,0.004765999999904125,818.4617700000001,0.0,y7,+2,0.13327000000072076,2950.5252500000006,2.0,y25,2,101
102,818.466536,1475.69991,4770,3769.866356,818.466536,2951.39982,1,2,818.466536,2950.39198,1*m/z A + 2*m/z B,0.022225999999136548,0.0,0,0.004765999999904125,818.4617700000001,0.0,y7,+3,0.014069999999719585,2950.37791,3.0,b26,2,101
0,807.701371,1345.732827,4777,3768.83694,2423.104113,1345.732827,3,1,2421.088433,1345.732827,3*m/z A + 1*m/z B,0.00719000000071901,0.0,0,0.01093300000002273,2421.0775,0.0,b22,+1,0.022652999999991152,1345.75548,1.0,y11,1,86
111,808.369789,1344.760428,4790,3769.869795,2425.109367,1344.760428,3,1,2423.093687,1344.760428,3*m/z A + 1*m/z B,0.025664999999207794,0.0,+2,0.009487000000262924,2423.0842,2.0,b22,0,0.008297999999967942,1344.75213,0.0,y11,2,101
467,1180.641459,1410.751853,5031,3772.0347709999996,2361.282918,1410.751853,2,1,2360.2750779999997,1410.751853,2*m/z A + 1*m/z B,0.19064099999877726,0.0,0,0.014277999999194435,2360.2608000000005,0.0,y20,+5,0.16627300000004652,1410.58558,5.0,b13,4,66
464,918.504816,1016.490978,5168,3772.0054259999997,2755.514448,1016.490978,3,1,2753.498768,1016.490978,3*m/z A + 1*m/z B,0.16129599999885613,0.0,,,,,,,,,,,4,66
380,1081.003689,1344.730161,5189,3770.464011,1081.003689,2689.460322,1,2,1081.003689,2688.4524819999997,1*m/z A + 2*m/z B,0.3801190000008319,0.0,+4,0.40387100000020837,1081.40756,4.0,b10,0,0.017011999998885585,2688.435470000001,0.0,y23,3,92
470,894.448102,1088.198851,5260,3771.543157,2683.344306,1088.198851,3,1,2681.328626,1088.198851,3*m/z A + 1*m/z B,0.30097300000079485,0.0,,,,,,,,,,,4,66
462,902.710349,1063.848577,5342,3771.9796239999996,2708.131047,1063.848577,3,1,2706.115367,1063.848577,3*m/z A + 1*m/z B,0.13549399999874367,0.0,,,,,,,,,,,4,66
216,931.913984,946.106347,5350,3770.2330250000005,931.913984,2838.319041,1,3,931.913984,2836.303361,1*m/z A + 3*m/z B,0.388894999999593,0.0,0,0.3681539999998904,931.5458300000001,0.0,y8,+2,0.012861000000157219,2836.2905,2.0,b25,2,101
468,876.946427,1141.232459,5382,3772.0717400000003,2630.839281,1141.232459,3,1,2628.823601,1141.232459,3*m/z A + 1*m/z B,0.22760999999945852,0.0,,,,,,,,,,,4,66
52,578.325551,1595.271741,5392,3768.869033,578.325551,3190.543482,1,2,578.325551,3189.535642,1*m/z A + 2*m/z B,0.024902999999085296,0.0,+1,0.0030709999999771753,578.32248,1.0,y5,+1,0.02179199999955017,3189.5138500000003,1.0,b28,1,86
267,236.090789,1178.259151,5482,3770.8682419999996,236.090789,3534.7774529999997,1,3,236.090789,3532.7617729999997,1*m/z A + 3*m/z B,0.024111999998694955,0.0,+1,0.004990999999989754,236.09578,1.0,y2,+2,0.017872999999326566,3532.7439000000004,2.0,b31,3,92
