,m/z A,m/z B,Ranking,comp_1_m/z A,comp_4_m/z B,1*m/z A + 4*m/z B,comp_2_m/z A,comp_3_m/z B,2*m/z A + 3*m/z B,comp_3_m/z A,comp_2_m/z B,3*m/z A + 2*m/z B,comp_4_m/z A,comp_1_m/z B,4*m/z A + 1*m/z B,1*m/z A + 3*m/z B,2*m/z A + 2*m/z B,3*m/z A + 1*m/z B
76975,524.32292199,559.36077567,88,524.32292199,2237.44310268,2761.7660246699998,1048.64584398,1678.08232701,2726.72817099,1572.9687659700003,1118.72155134,2691.69031731,2097.29168796,559.36077567,2656.65246363,2202.405249,2167.36739532,2132.32954164
2007742,705.08690078,947.08239124,89,705.08690078,3788.32956496,4493.41646574,1410.17380156,2841.24717372,4251.42097528,2115.2607023399996,1894.16478248,4009.42548482,2820.34760312,947.08239124,3767.42999436,3546.3340744999996,3304.3385840399997,3062.3430935799997
767504,632.39353224,844.75753743,90,632.39353224,3379.03014972,4011.42368196,1264.78706448,2534.27261229,3799.05967677,1897.18059672,1689.51507486,3586.6956715799997,2529.57412896,844.75753743,3374.33166639,3166.6661445299997,2954.30213934,2741.93813415
148673,536.85350795,978.57202064,91,536.85350795,3914.28808256,4451.14159051,1073.7070159,2935.71606192,4009.42307782,1610.56052385,1957.14404128,3567.70456513,2147.4140318,978.57202064,3125.98605244,3472.56956987,3030.8510571799998,2589.13254449
4284708,787.9752001,899.55199861,92,787.9752001,3598.20799444,4386.18319454,1575.9504002,2698.6559958300004,4274.606396030001,2363.9256003,1799.10399722,4163.029597520001,3151.9008004,899.55199861,4051.4527990100005,3486.6311959300006,3375.05439742,3263.47759891
74644,524.31704899,799.48371698,93,524.31704899,3197.93486792,3722.25191691,1048.63409798,2398.45115094,3447.0852489199997,1572.95114697,1598.96743396,3171.91858093,2097.26819596,799.48371698,2896.75191294,2922.76819993,2647.6015319400003,2372.4348639500004
2299492,714.96633853,859.16708053,94,714.96633853,3436.66832212,4151.63466065,1429.93267706,2577.50124159,4007.43391865,2144.89901559,1718.33416106,3863.23317665,2859.86535412,859.16708053,3719.03243465,3292.46758012,3148.26683812,3004.06609612
3873321,773.21861798,914.56037376,95,773.21861798,3658.24149504,4431.46011302,1546.43723596,2743.68112128,4290.11835724,2319.65585394,1829.12074752,4148.77660146,3092.87447192,914.56037376,4007.43484568,3516.89973926,3375.55798348,3234.2162276999998
2717848,730.94298875,1068.62632251,96,730.94298875,4274.50529004,5005.44827879,1461.8859775,3205.8789675299995,4667.76494503,2192.82896625,2137.25264502,4330.0816112699995,2923.771955,1068.62632251,3992.3982775100003,3936.8219562799995,3599.13862252,3261.4552887600003
610263,602.37726795,934.55495728,97,602.37726795,3738.21982912,4340.59709707,1204.7545359,2803.66487184,4008.41940774,1807.13180385,1869.10991456,3676.2417184100004,2409.5090718,934.55495728,3344.06402908,3406.04213979,3073.86445046,2741.6867611300004
2007738,705.08690078,946.5771532,98,705.08690078,3786.3086128,4491.39551358,1410.17380156,2839.7314596,4249.90526116,2115.2607023399996,1893.1543064,4008.4150087399994,2820.34760312,946.5771532,3766.9247563199997,3544.81836038,3303.32810796,3061.8378555399995
167741,537.35077299,978.23735262,99,537.35077299,3912.94941048,4450.30018347,1074.70154598,2934.71205786,4009.41360384,1612.05231897,1956.47470524,3568.52702421,2149.40309196,978.23735262,3127.64044458,3472.06283085,3031.1762512200003,2590.28967159
4364355,790.44613829,882.77453633,100,790.44613829,3531.09814532,4321.54428361,1580.89227658,2648.32360899,4229.21588557,2371.33841487,1765.54907266,4136.887487530001,3161.78455316,882.77453633,4044.55908949,3438.76974728,3346.44134924,3254.1129512
2032725,705.92496085,791.23747635,101,705.92496085,3164.9499054,3870.8748662499997,1411.8499217,2373.7124290499996,3785.5623507499995,2117.7748825500003,1582.4749527,3700.24983525,2823.6998434,791.23747635,3614.93731975,3079.6373898999996,2994.3248744,2909.0123589000004
2299495,714.96633853,859.50288756,102,714.96633853,3438.01155024,4152.9778887699995,1429.93267706,2578.50866268,4008.44133974,2144.89901559,1719.00577512,3863.9047907100003,2859.86535412,859.50288756,3719.36824168,3293.47500121,3148.9384521800002,3004.40190315
