Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,,271.91,790.15,,688.1040095176114,602.2535439728643,
2,b3-2(H2O)(1+),289.96,790.12,y6(1+),879.5008644232416,584.0707672530526,0.444
,b3-2(H2O)(1+),289.96,790.12,bi(4-10)-2(H2O)(1+),879.5008644232416,584.0707672530526,0.595
3,y2(1+),294.02,885.29,bi(2-9)(1+),413.81100601491687,581.9274638123023,0.288
4,,325.9,843.48,,360.0095173381318,559.7302507073717,
5,b3-(H2O)(1+),307.87,825.39,y7-2(NH3)-(HCOH)(1+),409.5631323738286,545.6296475368799,0.309
,b3-(H2O)(1+),307.87,825.39,bi(4-10)(1+),409.5631323738286,545.6296475368799,0.324
6,,307.93,843.38,,298.98367825575986,488.98046290205826,
7,b5-(H2O)(1+),507.99,691.39,y5(1+),1092.692574323836,462.1402557419068,0.279
8,,482.07,691.15,,491.8632965776938,434.5250216401439,
9,b3(1+),325.84,825.15,y7-2(NH3)-(HCOH)(1+),291.5528890655318,425.66666657199886,0.498
,b3(1+),325.84,825.15,bi(4-10)(1+),291.5528890655318,425.66666657199886,0.522
10,y4(1+),578.0,625.08,b6(1+),372.8273573745596,421.5044180130568,0.46
11,b4(1+),426.89,790.4,y6(1+),953.1714923971118,421.4631989123456,0.336
12,b5(1+),525.92,691.0,y5(1+),971.1812718283003,416.24325784253244,0.578
13,bi(8-10)-(HN=C=NH)(1+),370.95,691.29,b7-(NH3)-(HCOH)(1+),339.1449107958377,389.90649834355355,0.345
14,b4-(H2O)(1+),408.82,773.15,y6-(NH3)(1+),322.22853225427264,382.63392067386354,0.509
,b4-(H2O)(1+),408.82,773.15,y6-(H2O)(1+),322.22853225427264,382.63392067386354,0.731
15,,525.78,1022.4,,130.00020288756716,380.050946937536,
16,b5-2(H2O)-(HCOH)(1+),460.11,578.21,y4(1+),85.13835493887484,379.55349264339355,0.214
17,y4(2+),289.89,625.37,b6(1+),376.12818658062906,379.0488546493803,0.202
,b3-2(H2O)(1+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.247
,b6-(NH3)-(HCOH)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.247
,b3-2(H2O)(1+),289.89,625.37,bi(4-9)-(HN=C=NH)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.25
,a6-(H2O)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.286
,b6-(CH2S)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.296
,b6-(CH3SH)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.722
,b6-(H2O)-(HCOH)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.732
,a6-(NH3)(2+),289.89,625.37,y5-2(H2O)-(HCOH)(1+),376.12818658062906,379.0488546493803,0.772
18,,576.09,890.43,,388.6200506120809,377.4813280182206,
19,y2(1+),293.96,697.34,bi(4-9)(1+),134.78337758778642,377.3946436658639,0.256
20,bi(8-10)-(H2O)-(HN=C=NH)(1+),352.78,691.02,b7-(NH3)-(HCOH)(1+),139.40796639619614,372.8611417599776,0.614
,a4-(CH2S)(1+),352.78,691.02,y5(1+),139.40796639619614,372.8611417599776,0.615
