Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y3(1+),359.12,513.97,b9(2+),3367416.849094334,2505.0367656408935,0.216
,y3(1+),359.12,513.97,a5(1+),3367416.849094334,2505.0367656408935,0.351
2,ai(5-7)-(NH3)(1+),296.03,536.45,y5-2(NH3)-(HCOH)(1+),6416610.7852793345,2447.1194049212777,0.184
,b3-(H2O)(1+),296.03,536.45,y5-2(NH3)-(HCOH)(1+),6416610.7852793345,2447.1194049212777,0.214
,b3-(H2O)(1+),296.03,536.45,y9(2+),6416610.7852793345,2447.1194049212777,0.227
,ai(2-7)-2(H2O)-(HCOH)(2+),296.03,536.45,y5-2(NH3)-(HCOH)(1+),6416610.7852793345,2447.1194049212777,0.653
,b6-(CH3SH)-(HCOH)(2+),296.03,536.45,y5-2(NH3)-(HCOH)(1+),6416610.7852793345,2447.1194049212777,0.682
3,a8(2+),435.86,487.38,y4(1+),1240921.4298800956,1673.985261607037,0.128
,b5-(CH3CH2SCH3)-(HCOH)(1+),435.86,487.38,y4(1+),1240921.4298800956,1673.985261607037,0.408
,bi(5-8)-(H2O)(1+),435.86,487.38,y4(1+),1240921.4298800956,1673.985261607037,0.408
,a5-(CH3SH)-(HCOH)(1+),435.86,487.38,y4(1+),1240921.4298800956,1673.985261607037,0.437
,ai(4-8)-(CH3CH2SCH3)-(HCOOH)(1+),435.86,487.38,y4(1+),1240921.4298800956,1673.985261607037,0.595
4,b8(2+),449.78,487.39,y4(1+),1304357.7717594977,1319.6093998455099,0.092
,a5-2(NH3)-(HCOH)(1+),449.78,487.39,y4(1+),1304357.7717594977,1319.6093998455099,0.469
5,b4(1+),445.06,470.97,y8(2+),2732600.2089075074,1252.3114077049854,0.269
,b4(1+),445.06,470.97,y4-(NH3)(1+),2732600.2089075074,1252.3114077049854,0.725
6,ai(3-7)-2(H2O)-(HCOH)(2+),245.99,570.5,y5-(HCOH)(1+),646723.3195427924,1175.4946575891013,0.198
,bi(3-7)-(CH3SH)-(HCOOH)(2+),245.99,570.5,y5-(HCOH)(1+),646723.3195427924,1175.4946575891013,0.206
,y2(1+),245.99,570.5,ai(6-10)(1+),646723.3195427924,1175.4946575891013,0.22
