Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,y5(1+),600.41,785.43,b7(1+),726576.410394313,3039.151245792172,0.032
2,y4(1+),487.33,898.48,b8(1+),61973.41499668554,1349.382329009487,0.042
3,bi(5-6)(1+),225.83,715.46,y6(1+),66822.19997976127,1177.9966567515755,0.334
4,y5(1+),600.46,767.46,b7-(H2O)(1+),108842.47777645562,911.8534686082835,0.094
5,b4-2(NH3)(1+),411.13,843.26,y7(1+),12805.07310101042,747.9171658708378,0.26
6,bi(5-7)(1+),341.13,600.41,y5(1+),44422.61603989935,726.8074706871985,0.058
,a4-(CH3CH2SCH3)(1+),341.13,600.41,y5(1+),44422.61603989935,726.8074706871985,0.085
,a4-(CH2S)-(HCOH)(1+),341.13,600.41,y5(1+),44422.61603989935,726.8074706871985,0.124
7,y3(1+),359.06,1026.44,b9(1+),23298.99944848837,721.437979719222,0.222
8,b3-(H2O)(1+),296.04,940.16,y8(1+),254740.75389976474,720.918922707977,0.431
9,bi(5-8)(1+),454.36,487.51,y4(1+),12711.75685298089,715.7221522793056,0.228
10,b5-(CH2S)-(HCOH)(1+),466.3,843.62,y7(1+),9309.393867030507,659.7806881940069,0.11
,a5-(CH3SH)(1+),466.3,843.62,y7(1+),9309.393867030507,659.7806881940069,0.11
,a5-(H2O)-(HCOH)(1+),466.3,843.62,y7(1+),9309.393867030507,659.7806881940069,0.112
,b5-(CH3CH2SCH3)(1+),466.3,843.62,y7(1+),9309.393867030507,659.7806881940069,0.114
11,y3(1+),359.18,582.33,bi(5-9)(1+),12523.317195103904,646.403176256694,0.06
12,,393.13,843.93,,7507.136756232418,615.9869978625426,
13,b5-(H2O)(1+),524.13,844.28,y7(1+),16761.411989025466,596.9983200214914,0.786
14,b5(1+),542.2,843.73,y7(1+),13982.256210066149,566.8921344414019,0.242
15,bi(4-6)(1+),357.07,715.91,y6(1+),20515.39961269705,549.7829318956461,0.517
16,a3-(NH3)-(HCOH)(1+),238.73,940.7,y8(1+),54031.058148309836,547.4076069088965,0.462
,a3-(H2O)-(HCOH)(1+),238.73,940.7,y8(1+),54031.058148309836,547.4076069088965,0.558
17,b4-(CH2S)-(HCOH)(1+),369.45,940.64,y8(1+),131645.33861123232,528.8373980355803,0.215
,a4-(CH3SH)(1+),369.45,940.64,y8(1+),131645.33861123232,528.8373980355803,0.215
,a4-(H2O)-(HCOH)(1+),369.45,940.64,y8(1+),131645.33861123232,528.8373980355803,0.234
,b4-(CH3CH2SCH3)(1+),369.45,940.64,y8(1+),131645.33861123232,528.8373980355803,0.253
