Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
1,b3(2+),236.46,519.33,y5(1+),219422.8157749325,2260.748290123546,0.201
2,b2(1+),287.97,352.17,ai(3-6)-(NH3)-(CH3NH2)(1+),1009916.0937706545,2169.5186982852592,0.16
,b2(1+),287.97,352.17,y6(2+),1009916.0937706545,2169.5186982852592,0.161
3,y2(1+),276.0,358.22,b6(2+),594472.6537894027,1582.0367532110224,0.165
,b5-2(H2O)(2+),276.0,358.22,y3-(NH3)-(HCOH)(1+),594472.6537894027,1582.0367532110224,0.355
,b5-2(NH3)(2+),276.0,358.22,y3-(NH3)-(HCOH)(1+),594472.6537894027,1582.0367532110224,0.633
4,y2(1+),275.96,349.12,bi(3-6)-2(NH3)-(CH3NHCH3)(1+),525961.5624804206,1564.2456533920536,0.2
,y2(1+),275.96,349.12,b6-(H2O)(2+),525961.5624804206,1564.2456533920536,0.209
,y2(1+),275.96,349.12,b6-(NH3)(2+),525961.5624804206,1564.2456533920536,0.585
5,b4(2+),265.05,462.2,y4(1+),43704.25303775731,1486.2848571378108,0.102
6,a2(1+),260.09,352.25,y6(2+),519289.6089038567,1423.9908156031277,0.072
,a2(1+),260.09,352.25,ai(3-6)-(NH3)-(CH3NH2)(1+),519289.6089038567,1423.9908156031277,0.098
7,bi(5-7)(2+),158.68,529.34,b4(1+),19267.115409601152,1201.617210087814,0.13
,ai(5-6)(1+),158.68,529.34,b4(1+),19267.115409601152,1201.617210087814,0.393
8,bi(2-4)-2(NH3)(2+),197.76,379.75,y4-2(H2O)-(HCOOH)(1+),21908.212399891625,1122.8057387078234,0.468
,ai(4-6)-(H2O)(1+),197.76,379.75,a3-2(NH3)-(HCOH)(1+),21908.212399891625,1122.8057387078234,0.552
,bi(4-6)-(HCOOH)(1+),197.76,379.75,a3-2(NH3)-(HCOH)(1+),21908.212399891625,1122.8057387078234,0.558
,ai(3-4)-(NH3)(1+),197.76,379.75,y4-2(H2O)-(HCOOH)(1+),21908.212399891625,1122.8057387078234,0.76
,bi(3-4)-(CH3NHCH3)(1+),197.76,379.75,y4-2(H2O)-(HCOOH)(1+),21908.212399891625,1122.8057387078234,0.793
9,b5-(H2O)(2+),284.5,387.08,y3-(H2O)(1+),38980.25813776514,1045.4754426223865,0.186
,b5-(NH3)(2+),284.5,387.08,y3-(H2O)(1+),38980.25813776514,1045.4754426223865,0.659
10,y1-(H2O)(1+),129.42,422.56,b7(2+),103761.58248697792,989.8368094763348,0.349
