m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
408.24152999999995	797.737655	90898.177	39165.618	163.58491	1216	36440.484375	54529.238281	408.241512	797.737776	2.0	4.0	ffc_line
457.77598	772.9704300000001	177125.99	55736.667	159.29051	1505	31461.708984	136584.625	457.775967	772.970593	2.0	4.0	ffc_line
542.82903	730.444205	5455.7195	5307.2863	261.91906	54	1267.356201	6645.418457	542.829029	730.444069	2.0	4.0	ffc_line
379.73068	811.9931300000001	42489.18	31855.637	277.64545	49	20556.564453	23814.603516	379.730691	811.993239	2.0	4.0	ffc_line
315.70117999999997	844.008005	25177.993	15107.99	154.8708	1799	13243.37207	26633.107422	315.701199	844.008192	2.0	4.0	ffc_line
280.18253	861.767405	17946.291	13573.442	205.63299	222	15539.794922	11347.268555	280.182538	861.767638	2.0	4.0	ffc_line
559.35828	689.6149800000001	114601.37	46847.725	215.39461	159	98968.335938	27801.646484	559.35831	689.614975	1.0	5.0	ffc_line
458.31037999999995	709.8247000000001	28928.105	18933.372	229.39343	102	27448.712891	12161.583984	458.310365	709.825083	1.0	5.0	ffc_line
598.76394	1013.61508	5420.9644	4745.1418	192.51004	338	15961.994141	1650.665161	598.763944	1013.615054	5.0	1.0	ffc_line
649.79576	755.45558	6972.005	6447.0605	173.59191	732	8215.058594	1350.466675	650.598194	754.452472	5.0	1.0	ffc_line
408.24152999999995	797.737655	4411.8229	4302.0489	178.10456	609	280.60437	54529.238281	409.745358	797.737776	2.0	4.0	ffc_line
457.77598	772.9704300000001	51634.463	28055.317	194.70702	307	2911.302979	273944.25	458.778736	773.221261	2.0	4.0	ffc_line
457.77598	772.9704300000001	168633.84	68035.35	218.58495	138	31461.708984	118417.5	457.775967	773.722676	2.0	4.0	ffc_line
457.77598	772.9704300000001	127669.78	48511.796	162.07276	1307	13709.387695	228460.171875	458.277432	773.471959	2.0	4.0	ffc_line
408.24152999999995	797.737655	120376.82	60352.839	251.93222	66	36440.484375	53244.882813	408.241512	798.489965	2.0	4.0	ffc_line
379.73068	811.9931300000001	64533.496	53423.612	425.26855	8	20556.564453	25180.839844	379.730691	812.745401	2.0	4.0	ffc_line
507.31032999999996	748.203305	22719.446	18232.154	238.31424	87	4737.618652	37301.515625	507.310348	748.955574	2.0	4.0	ffc_line
507.31032999999996	748.203305	23107.967	16462.959	217.59124	146	2119.644043	77679.125	507.811704	748.704897	2.0	4.0	ffc_line
379.73068	811.9931300000001	8983.2997	7637.2542	181.70569	516	1247.74292	51593.984375	380.733543	812.24398	2.0	4.0	ffc_line
408.24152999999995	797.737655	77336.131	40206.843	205.84129	221	13266.142578	97534.226563	408.74309	798.239231	2.0	4.0	ffc_line
379.73068	811.9931300000001	39843.405	31110.156	299.50816	37	6631.41748	47092.832031	380.232176	812.494697	2.0	4.0	ffc_line
280.18253	861.767405	44636.806	37949.677	438.38307	7	15539.794922	15941.132813	280.182538	862.519546	2.0	4.0	ffc_line
315.70117999999997	844.008005	18893.465	13060.871	176.46419	651	3508.662354	55286.4375	316.202832	844.509518	2.0	4.0	ffc_line
280.18253	861.767405	3698.7878	3409.9503	169.65516	889	473.147644	26861.677734	281.185473	862.018239	2.0	4.0	ffc_line
229.65858	887.0295550000001	2870.8377	2616.9871	172.82984	758	2103.665283	4509.71582	229.658571	887.781763	2.0	4.0	ffc_line
457.77598	772.9704300000001	297447.64	104774.54	239.15988	86	31461.708984	228460.171875	457.775967	773.471959	2.0	4.0	ffc_line
457.77598	772.9704300000001	146234.72	50330.683	164.80466	1145	13709.387695	273944.25	458.277432	773.221261	2.0	4.0	ffc_line
408.24152999999995	797.737655	177467.28	83327.081	254.71497	63	36440.484375	97534.226563	408.241512	798.239231	2.0	4.0	ffc_line
507.31032999999996	748.203305	23468.904	16191.355	217.53678	147	2119.644043	94172.65625	507.811704	748.454142	2.0	4.0	ffc_line
379.73068	811.9931300000001	4892.9974	4403.0305	153.85538	1874	1247.74292	23814.603516	380.733543	811.993239	2.0	4.0	ffc_line
379.73068	811.9931300000001	93286.345	68242.346	420.52802	9	20556.564453	47092.832031	379.730691	812.494697	2.0	4.0	ffc_line
408.24152999999995	797.737655	93649.23	51074.544	247.34532	70	13266.142578	113541.265625	408.74309	797.988504	2.0	4.0	ffc_line
379.73068	811.9931300000001	38094.454	27907.528	248.15923	68	6631.41748	51593.984375	380.232176	812.24398	2.0	4.0	ffc_line
542.82903	730.444205	7052.5846	6790.7505	285.13387	44	1267.356201	8597.196289	542.829029	730.945574	2.0	4.0	ffc_line
315.70117999999997	844.008005	77513.824	54761.034	367.63602	16	13243.37207	55286.4375	315.701199	844.509518	2.0	4.0	ffc_line
280.18253	861.767405	60926.142	50715.484	467.00896	3	15539.794922	25143.320313	280.182538	862.268876	2.0	4.0	ffc_line
229.65858	887.0295550000001	5203.9667	4777.8052	211.58185	184	2103.665283	7762.084961	229.658571	887.530923	2.0	4.0	ffc_line
280.18253	861.767405	15123.855	11717.847	210.33789	193	3396.115479	26861.677734	280.684175	862.018239	2.0	4.0	ffc_line
408.24152999999995	797.737655	228544.17	120597.33	354.5252	21	36440.484375	113541.265625	408.241512	797.988504	2.0	4.0	ffc_line
457.77598	772.9704300000001	105440.59	55568.894	246.52736	72	13709.387695	136584.625	458.277432	772.970593	2.0	4.0	ffc_line
507.31032999999996	748.203305	30712.276	20612.894	187.83601	401	4737.618652	94172.65625	507.310348	748.454142	2.0	4.0	ffc_line
408.24152999999995	797.737655	54807.478	34403.941	233.0554	95	13266.142578	54529.238281	408.74309	797.737776	2.0	4.0	ffc_line
379.73068	811.9931300000001	109439.76	80227.108	447.03198	5	20556.564453	51593.984375	379.730691	812.24398	2.0	4.0	ffc_line
379.73068	811.9931300000001	14130.733	10422.644	157.38088	1641	6631.41748	23814.603516	380.232176	811.993239	2.0	4.0	ffc_line
315.70117999999997	844.008005	77025.771	52791.898	321.67112	27	13243.37207	60733.140625	315.701199	844.258842	2.0	4.0	ffc_line
280.18253	861.767405	61804.971	50671.621	450.34092	4	15539.794922	26861.677734	280.182538	862.018239	2.0	4.0	ffc_line
542.82903	730.444205	6368.3143	6030.2876	281.13658	48	1267.356201	10782.216797	542.829029	730.695037	2.0	4.0	ffc_line
315.70117999999997	844.008005	14227.721	11646.313	214.97843	163	3508.662354	26633.107422	316.202832	844.008192	2.0	4.0	ffc_line
229.65858	887.0295550000001	7803.016	7256.829	285.43804	43	2103.665283	7792.032715	229.658571	887.280393	2.0	4.0	ffc_line
280.18253	861.767405	9694.8353	8357.0567	245.06502	75	3396.115479	11347.268555	280.684175	861.767638	2.0	4.0	ffc_line
271.17728	866.526655	634.69917	633.87251	159.88081	1460	298.653229	541.201416	271.177297	866.526653	2.0	4.0	ffc_line
649.79576	758.45468	251268.09	113554.63	205.34192	224	55863.917969	92884.914063	649.996426	758.454663	5.0	1.0	ffc_line
