m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
842.246605	868.50568	46168.225	42487.239	140.49109	2989	2897.611816	21795.341797	2	842.998252	868.503679	4	2	ffc_line
795.469555	963.56263	19884.4	19120.347	103.9887	14638	3562.43457	5272.727051	2	795.46956	963.562617	4	2	ffc_line
842.1511800000001	847.1485133333333	88187.635	68720.234	118.65499	8000	3957.466797	47569.152344	3	843.485515	847.482958	3	3	ffc_line
711.7429133333334	978.9003466666667	39851.533	35619.791	177.7568	537	9545.279297	6605.869629	3	712.41154	978.564444	3	3	ffc_line
828.1494799999999	862.1633800000001	44995.657	42001.689	126.62707	5607	7658.361816	6297.514648	3	828.483925	862.497832	3	3	ffc_line
730.75768	959.8930466666667	85302.037	70251.688	127.90814	5308	108334.25	2511.088867	3	731.091993	959.890669	3	3	ffc_line
826.15158	865.1667466666667	76573.87	65823.289	142.17148	2755	31868.662109	3991.300781	3	826.486044	864.498546	3	3	ffc_line
819.1460800000001	870.1681133333334	26986.925	25543.198	115.14849	9300	2726.70874	8966.373047	3	820.483023	870.502562	3	3	ffc_line
813.3435133333334	876.9752133333334	166576.58	123505.33	119.88844	7589	4265.087891	139500.296875	3	813.677952	877.309663	3	3	ffc_line
826.15158	864.5087466666666	62127.003	44983.079	104.51791	14325	31868.662109	5510.597656	3	826.486044	864.508745	3	3	ffc_line
828.7583133333334	860.2528800000001	40854.456	37754.275	141.7053	2830	4940.276855	3950.833496	4	829.092767	860.252867	3	3	ffc_line
835.75548	854.2703466666668	26338.713	24869.962	121.19702	7165	3622.096436	2695.879883	4	835.081899	854.270335	3	3	ffc_line
842.5525800000001	847.1485133333333	123360.05	85318.61	104.14741	14541	7476.189453	47569.152344	4	841.88274	847.482958	3	3	ffc_line
832.7481799999999	856.2873466666667	110528.79	102460.58	148.96725	2016	32314.921875	4483.058594	4	833.082615	856.28736	3	3	ffc_line
