m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	mz_A_original	mz_B_original	charge_A	charge_B	deconv_method
714.95713	858.8326133333334	8286.6246	7997.9939	266.86959	378	8203.520508	1657.812134	714.95639853	859.83577558	2.0	3.0	ffc_line
665.42258	891.85598	13394.164	12504.648	314.28786	119	2930.113037	8645.186523	666.42457583	892.19044005	2.0	3.0	ffc_line
676.40548	884.5346133333334	5978.0557	5774.4321	226.06719	1637	2337.665283	4101.213867	676.40548759	885.53694655	2.0	3.0	ffc_line
601.37508	934.55478	26412.347	24424.577	513.78049	22	4652.558594	6224.410645	601.87567191	935.22361234	2.0	3.0	ffc_line
601.37508	934.55478	9941.1617	9354.8456	294.45176	189	1385.694092	7464.984863	602.37726795	934.88923931	2.0	3.0	ffc_line
601.37508	934.55478	2640.9075	2698.0618	232.04543	1275	268.635315	4653.150879	602.87894199	934.55495728	2.0	3.0	ffc_line
536.8535300000001	977.56968	15415.898	14430.828	329.18835	91	7287.316406	3504.754395	536.85350795	978.57202064	2.0	3.0	ffc_line
676.40548	884.5346133333334	7596.1053	7224.6446	275.92441	300	668.109558	12195.871094	677.40804467	884.86905849	2.0	3.0	ffc_line
676.40548	884.5346133333334	12601.374	12045.335	334.34025	86	1635.036255	8991.875977	676.90708163	885.20308052	2.0	3.0	ffc_line
536.8535300000001	977.56968	24862.352	24184.098	516.67409	21	3703.027344	6710.589355	537.35610799	978.23735262	2.0	3.0	ffc_line
536.8535300000001	977.56968	9438.1649	8924.4438	297.2711	176	1362.342285	9016.401367	537.85629503	977.90413459	2.0	3.0	ffc_line
714.95713	858.8326133333334	24530.981	23150.773	405.30645	44	7287.959961	5088.088867	715.45818357	859.50288756	2.0	3.0	ffc_line
665.42258	891.85598	30156.914	27992.126	476.09804	29	8824.393555	6037.196777	665.92444779	892.52552908	2.0	3.0	ffc_line
601.37508	934.55478	22339.726	21561.478	454.26086	34	7510.525879	3745.062988	601.37494387	935.55935636	2.0	3.0	ffc_line
665.42258	891.85598	23234.741	20690.973	347.44553	77	10164.852539	5154.64209	665.42238076	892.8655741	2.0	3.0	ffc_line
714.9663300000001	858.8326133333334	4827.3264	4688.4023	221.49132	1979	582.334045	5887.783203	715.97019461	859.16708053	2.0	3.0	ffc_line
705.6708050000001	1182.70148	68771.713	64497.885	632.51337	9	14716.557617	9751.84375	705.92496085	1183.71377129	4.0	1.0	ffc_line
772.9677800000001	914.5414800000001	1062395.8	269436.65	267.38734	374	207432.421875	119344.148438	773.21861798	914.54116676	4.0	1.0	ffc_line
797.7351550000001	815.47218	240906.86	140453.76	378.94002	55	43680.050781	75461.164063	797.73520585	816.47514528	4.0	1.0	ffc_line
797.7351550000001	815.47218	786616.21	216442.28	267.9866	367	89609.953125	209220.984375	797.98599687	815.4721272	4.0	1.0	ffc_line
730.441405	1084.64848	115983.25	94760.872	541.94063	15	35358.316406	18961.699219	730.44140272	1085.65087081	4.0	1.0	ffc_line
705.6708050000001	1182.70148	18173.724	17047.358	352.97362	72	8344.521484	5001.091309	705.67371483	1184.72177837	4.0	1.0	ffc_line
730.441405	1084.64848	319357.12	239998.87	723.55266	3	65330.390625	35108.84375	730.69224573	1084.64851673	4.0	1.0	ffc_line
748.2008050000001	1013.6112800000001	405934.99	243109.97	522.93034	18	135404.84375	38980.453125	748.45163909	1013.61126831	4.0	1.0	ffc_line
748.2008050000001	1013.6112800000001	108018.22	66029.601	281.86647	256	71064.453125	19461.662109	748.20096607	1014.61406839	4.0	1.0	ffc_line
663.65213	1351.80878	3637.8403	3626.3985	310.67642	128	1060.89856	741.134949	663.65164662	1352.81232719	4.0	1.0	ffc_line
663.65213	1351.80878	3003.0043	2959.4192	253.53064	564	1779.991821	1073.206055	663.90297464	1351.80877311	4.0	1.0	ffc_line
687.9154550000001	1254.75708	6634.3721	6455.0748	368.87062	62	2851.792969	1586.883545	688.16629749	1254.75707471	4.0	1.0	ffc_line
793.47523	831.52218	15523.91	14567.304	320.46941	107	6533.452148	4736.375977	793.97689956	831.52215643	4.0	1.0	ffc_line
772.9677800000001	914.5414800000001	123661.01	103227.7	328.49475	95	207432.421875	5436.75	773.21861798	914.56037376	4.0	1.0	ffc_line
730.441405	1084.64848	39252.037	32995.721	322.3623	104	35358.316406	5045.228516	730.44140272	1086.65172689	4.0	1.0	ffc_line
705.6708050000001	1182.70148	44827.909	40154.834	427.84416	40	12290.667969	9751.84375	706.17594086	1183.71377129	4.0	1.0	ffc_line
797.7351550000001	815.47218	727033.42	262142.26	333.57326	87	79680.109375	209220.984375	798.23661189	815.4721272	4.0	1.0	ffc_line
772.9677800000001	914.5414800000001	891968.07	219710.1	229.22332	1413	173866.78125	119344.148438	773.469507	914.54116676	4.0	1.0	ffc_line
730.441405	1084.64848	153931.29	115994.04	479.44608	28	65330.390625	18961.699219	730.69224573	1085.65087081	4.0	1.0	ffc_line
730.441405	1084.64848	282631.54	219696.28	736.09384	2	52928.84375	35108.84375	730.94298875	1084.64851673	4.0	1.0	ffc_line
663.65213	1351.80878	2755.0442	2730.2677	276.4598	295	1149.775757	1073.206055	664.15301666	1351.80877311	4.0	1.0	ffc_line
748.2008050000001	1013.6112800000001	325083.89	187683.67	434.08394	38	108760.164063	38980.453125	748.70239811	1013.61126831	4.0	1.0	ffc_line
705.6708050000001	1182.70148	21153.764	19473.923	304.45111	142	14716.557617	5001.091309	705.92496085	1184.72177837	4.0	1.0	ffc_line
687.9154550000001	1254.75708	7615.0599	7488.3892	369.41442	59	2318.32959	1586.883545	688.41670251	1254.75707471	4.0	1.0	ffc_line
663.65213	1351.80878	6010.3762	5989.3342	298.80862	163	1779.991821	741.134949	663.90297464	1352.81232719	4.0	1.0	ffc_line
687.9154550000001	1254.75708	5951.6246	5851.5302	357.62418	67	2851.792969	1030.746338	688.16629749	1255.75938378	4.0	1.0	ffc_line
676.40548	884.5346133333334	7186.3864	6915.6556	242.88195	833	1635.036255	4101.213867	676.90708163	885.53694655	2.0	3.0	ffc_line
601.37508	934.55478	7233.1958	6645.782	244.05762	802	1385.694092	6224.410645	602.37726795	935.22361234	2.0	3.0	ffc_line
665.42258	891.85598	8678.1726	8024.4774	254.82346	547	2930.113037	6037.196777	666.42457583	892.52552908	2.0	3.0	ffc_line
665.42258	891.85598	7423.2769	7415.5481	281.72977	258	477.222565	8645.186523	666.92783487	892.19044005	2.0	3.0	ffc_line
714.9563800000001	858.8326133333334	8016.3022	7494.2656	253.09503	579	2740.950928	5088.088867	715.95928161	859.50288756	2.0	3.0	ffc_line
536.8535300000001	977.56968	9424.5507	8991.7591	310.73615	127	3703.027344	3504.754395	537.35610799	978.57202064	2.0	3.0	ffc_line
601.37508	934.55478	8976.9838	8209.2607	266.26157	387	4652.558594	3745.062988	601.87567191	935.55935636	2.0	3.0	ffc_line
714.95713	858.8326133333334	3869.2459	3658.5401	252.73841	586	8203.520508	498.216064	714.95639853	860.17275461	2.0	3.0	ffc_line
601.37508	934.55478	8134.4693	7947.0459	273.06095	320	7510.525879	1421.109131	601.37494387	935.89531739	2.0	3.0	ffc_line
601.37508	934.55478	3196.0392	3244.4826	227.84619	1510	345.400085	6224.410645	602.38475595	935.22361234	2.0	3.0	ffc_line
730.441405	1084.64848	58623.96	47440.131	385.1279	53	65330.390625	5045.228516	730.69224573	1086.65172689	4.0	1.0	ffc_line
663.65213	1351.80878	2310.2897	2296.2186	255.14584	543	450.952972	1073.206055	664.40318268	1351.80877311	4.0	1.0	ffc_line
797.7351550000001	815.47218	388714.11	206118.88	399.98455	45	79680.109375	75461.164063	798.23661189	816.47514528	4.0	1.0	ffc_line
772.9677800000001	914.54118	154632.51	83673.406	249.48551	658	207432.421875	10409.945313	773.21861798	916.54758991	4.0	1.0	ffc_line
705.6708050000001	1182.70148	10386.366	9569.2805	291.70659	202	14716.557617	1421.237305	705.92496085	1185.72257344	4.0	1.0	ffc_line
730.441405	1084.64848	177998.45	147912.22	694.85489	5	52928.84375	18961.699219	730.94298875	1085.65087081	4.0	1.0	ffc_line
730.441405	1084.64848	191196.61	157185.92	737.3	1	27423.527344	35108.84375	731.19377777	1084.64851673	4.0	1.0	ffc_line
748.2008050000001	1013.6112800000001	171943.11	103661.14	347.22494	78	108760.164063	19461.662109	748.70239811	1014.61406839	4.0	1.0	ffc_line
748.2008050000001	1013.6112800000001	206094.65	124171.55	398.09899	46	59379.464844	38980.453125	748.95326413	1013.61126831	4.0	1.0	ffc_line
