,y1,y2,y3,y4,y5,y6,y7,y9,y10
NH3,,,,,,,"y7-NH3 (-0.29) (2 , 1)","y9-NH3 (-0.42) (2 , 1)","y10-NH3 (0.09) (2 , 1)"
No Loss,"y1 (-0.54) (1 , 2)","y2 (-0.02) (1 , 1)","y3 (-0.13) (1 , 2)","y4 (0.06) (1 , 1)","y5 (-0.14) (2 , 1)","y6 (0.16) (1 , 1)","y7 (0.06) (2 , 1)",,"y10 (0.64) (2 , 1)"
