,y1,y2,y3,y4,y5,y6,y7,y8,y9
NH3,,,,,,,"y7-NH3 (0.6) (2 , 1)","y8-NH3 (0.09) (2 , 1)","y9-NH3 (0.05) (2 , 1)"
No Loss,"y1 (0.82) (1 , 2)","y2 (0.63) (1 , 1)","y3 (1.1) (1 , 1)","y4 (0.13) (2 , 1)","y5 (0.41) (2 , 1)","y6 (0.63) (2 , 1)","y7 (0.69) (2 , 1)","y8 (0.89) (2 , 1)","y9 (0.87) (2 , 1)"
