,b3,b5,b6,b7,b8,b9,b10,b11,b12
NH3,,,,"b7-NH3 (-0.7) (1 , 2)","b8-NH3 (0.02) (1 , 2)","b9-NH3 (-0.3) (1 , 2)","b10-NH3 (0.62) (1 , 1)","b11-NH3 (-0.32) (2 , 1)","b12-NH3 (-0.35) (2 , 1)"
No Loss,"b3 (-0.22) (1 , 1)","b5 (0.15) (1 , 1)","b6 (-0.4) (2 , 1)","b7 (0.05) (1 , 2)","b8 (-0.06) (1 , 2)","b9 (-0.03) (1 , 2)","b10 (-0.06) (1 , 1)","b11 (-0.26) (2 , 1)","b12 (-0.04) (2 , 1)"
