Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
31,b3-2(H2O)-(HCOH)(1+),233.93,479.95,ai(4-11)-(HCOH)(2+),4861.349700935853,388.9876225004651,0.255
,y2(1+),233.93,479.95,a9-(HN=C=NH)-(HCOOH)(2+),4861.349700935853,388.9876225004651,0.284
,b3-2(H2O)-(HCOH)(1+),233.93,479.95,bi(4-7)-(H2O)(1+),4861.349700935853,388.9876225004651,0.389
,bi(6-9)-2(H2O)-(HCOOH)(2+),233.93,479.95,a5-(H2O)(1+),4861.349700935853,388.9876225004651,0.402
,bi(6-9)-2(H2O)-(HCOOH)(2+),233.93,479.95,b5-(HCOOH)(1+),4861.349700935853,388.9876225004651,0.411
,y5-2(NH3)-(HCOH)(2+),233.93,479.95,a5-(H2O)(1+),4861.349700935853,388.9876225004651,0.412
,y5-2(NH3)-(HCOH)(2+),233.93,479.95,b5-(HCOOH)(1+),4861.349700935853,388.9876225004651,0.421
,y2(1+),233.93,479.95,a5-(H2O)(1+),4861.349700935853,388.9876225004651,0.422
,y2(1+),233.93,479.95,b5-(HCOOH)(1+),4861.349700935853,388.9876225004651,0.43
,bi(6-9)-2(H2O)-(HCOOH)(2+),233.93,479.95,b5-(NH3)-(HCOH)(1+),4861.349700935853,388.9876225004651,0.684
,y2(1+),233.93,479.95,bi(10-14)-(HCOH)-(HCOH)(1+),4861.349700935853,388.9876225004651,0.686
,y5-2(NH3)-(HCOH)(2+),233.93,479.95,b5-(NH3)-(HCOH)(1+),4861.349700935853,388.9876225004651,0.69
,y2(1+),233.93,479.95,b5-(NH3)-(HCOH)(1+),4861.349700935853,388.9876225004651,0.696
32,y3-(H2O)(1+),312.85,1103.38,bi(5-13)(1+),8093.45811987085,384.26131757684567,0.394
33,,565.96,660.8,,14745.467528091835,383.6399674283533,
34,b3(1+),300.09,708.86,y12-(NH3)(2+),14261.082629238324,379.63447494394705,0.073
,bi(5-9)-(NH3)-(HCOOH)(2+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.474
,b3(1+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.475
,b3(1+),300.09,708.86,y12-(H2O)(2+),14261.082629238324,379.63447494394705,0.475
,b3(1+),300.09,708.86,bi(4-9)-2(H2O)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.525
,y6-(HCOH)-(HCOH)(2+),300.09,708.86,bi(5-10)-2(H2O)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.528
,y6-(HCOH)-(HCOH)(2+),300.09,708.86,b7-(HN=C=NH)-(HCOOH)(1+),14261.082629238324,379.63447494394705,0.567
,bi(5-9)-(H2O)-(HCOOH)(2+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.637
,ai(5-9)-2(H2O)(2+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.637
,bi(5-9)-2(NH3)-(HCOH)(2+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.651
,ai(5-9)-2(NH3)(2+),300.09,708.86,y7-2(NH3)-(HCOH)(1+),14261.082629238324,379.63447494394705,0.723
35,,791.11,1303.37,,3723.784991354339,377.12849179889065,
36,,660.5,1073.99,,13795.350492075579,376.09703171121384,
37,,660.3,797.35,,5778.1968584254355,373.8150590992605,
38,y5-(H2O)-(HCOH)(2+),241.93,1074.64,b9(1+),5102.27026166626,370.54194893336944,0.234
,bi(10-11)(1+),241.93,1074.64,b9(1+),5102.27026166626,370.54194893336944,0.234
,y5-(NH3)-(HCOH)(2+),241.93,1074.64,b9(1+),5102.27026166626,370.54194893336944,0.714
,ai(10-12)-(HCOH)-(HCOH)(1+),241.93,1074.64,b9(1+),5102.27026166626,370.54194893336944,0.774
,ai(10-14)-(HCOH)(2+),241.93,1074.64,b9(1+),5102.27026166626,370.54194893336944,0.774
,a5-(NH3)(2+),241.93,1074.64,ai(6-15)-(HN=C=NH)-(HCOH)(1+),5102.27026166626,370.54194893336944,0.785
39,y6-(NH3)(1+),642.26,911.21,ai(3-10)-2(NH3)-(HCOH)(1+),8440.79584966199,370.4366589049698,0.266
,y6-(NH3)(1+),642.26,911.21,b8(1+),8440.79584966199,370.4366589049698,0.304
,bi(9-14)-(HCOH)-(HCOH)(1+),642.26,911.21,b8(1+),8440.79584966199,370.4366589049698,0.307
,y6-(NH3)(1+),642.26,911.21,ai(3-10)-(H2O)-(HCOOH)(1+),8440.79584966199,370.4366589049698,0.313
40,ai(9-12)-(HCOH)(1+),433.93,911.25,b8(1+),3120.63459025843,369.4875327854624,0.398
41,,330.47,773.35,,10822.622897593468,369.19388731133915,
42,a5(1+),498.05,660.62,y11(2+),10157.30237515418,366.6933684214096,0.355
43,b4(1+),412.89,962.39,ai(5-12)(1+),3923.5700525660936,366.03474765202105,0.367
44,,552.19,634.04,,3240.407704949216,364.96151298774805,
45,y7(1+),772.17,797.5,b7(1+),3862.510250385248,364.0658739650989,0.294
,ai(8-14)-(NH3)(1+),772.17,797.5,b7(1+),3862.510250385248,364.0658739650989,0.772
46,b3-2(H2O)-(HCOH)(1+),234.04,1331.48,ai(4-15)-(HN=C=NH)(1+),12014.163843813445,362.2075757062673,0.754
,bi(13-15)-2(NH3)-(HCOH)(1+),234.04,1331.48,b12-(HN=C=NH)-(HCOH)(1+),12014.163843813445,362.2075757062673,0.783
,y2(1+),234.04,1331.48,b12-(HN=C=NH)-(HCOH)(1+),12014.163843813445,362.2075757062673,0.788
,ai(13-15)-2(H2O)(1+),234.04,1331.48,b12-(HN=C=NH)-(HCOH)(1+),12014.163843813445,362.2075757062673,0.789
47,y3-2(H2O)(1+),295.22,1074.39,b9(1+),3885.790512100683,361.33689010843057,0.175
,bi(10-12)-2(NH3)(1+),295.22,1074.39,b9(1+),3885.790512100683,361.33689010843057,0.192
,bi(10-15)-2(H2O)(2+),295.22,1074.39,b9(1+),3885.790512100683,361.33689010843057,0.481
48,b3-(NH3)-(HCOH)(1+),252.92,765.81,y13-(NH3)(2+),3252.828099484987,359.97668657591595,0.438
49,,275.02,660.47,,6665.608456772695,358.28229659496316,
50,a4(1+),384.81,990.34,bi(5-12)(1+),4786.559046662936,356.8113730858352,0.459
51,y5(1+),530.88,1114.47,bi(3-11)-(NH3)(1+),2391.4176346343206,356.28689148979083,0.437
52,y3(1+),331.27,631.26,ai(3-13)-(HN=C=NH)(2+),4701.645997751086,356.1005444503243,0.106
,y3(1+),331.27,631.26,ai(8-13)-(HCOH)-(HCOH)(1+),4701.645997751086,356.1005444503243,0.114
,b4-2(H2O)-(HCOOH)(1+),331.27,631.26,y11-(HCOH)-(HCOH)(2+),4701.645997751086,356.1005444503243,0.424
53,b3(1+),299.91,699.48,ai(4-9)-(H2O)-(HCOH)(1+),7578.53822400072,353.36519610004194,0.266
,b3(1+),299.91,699.48,y12-2(H2O)(2+),7578.53822400072,353.36519610004194,0.269
,y6-(HCOH)-(HCOH)(2+),299.91,699.48,ai(5-10)-(H2O)-(HCOH)(1+),7578.53822400072,353.36519610004194,0.285
54,,708.74,1218.25,,5206.491996431637,350.38937444279196,
55,,1004.5,1304.65,,2498.992875845081,348.9294530273506,
56,b3(1+),299.89,464.85,ai(4-11)-(HCOH)-(HCOH)(2+),3656.801979573952,348.9112688264749,0.282
,b3(1+),299.89,464.85,y5-2(H2O)-(HCOH)(1+),3656.801979573952,348.9112688264749,0.508
,ai(7-11)-(H2O)-(HCOH)(2+),299.89,464.85,y5-2(H2O)-(HCOH)(1+),3656.801979573952,348.9112688264749,0.513
,bi(6-10)-(H2O)-(HCOOH)(2+),299.89,464.85,a5-2(NH3)(1+),3656.801979573952,348.9112688264749,0.624
,ai(6-10)-2(H2O)(2+),299.89,464.85,a5-2(NH3)(1+),3656.801979573952,348.9112688264749,0.624
