Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,bi(3-10)-(HN=C=NH)(2+),480.74,642.09,y6-(NH3)(1+),63.51030023093483,302.17766151425064,0.572
,a5-(NH3)(1+),480.74,642.09,y6-(NH3)(1+),63.51030023093483,302.17766151425064,0.617
25,y5(1+),531.13,585.64,b10-(NH3)(2+),205.29351728306125,299.5908137642774,0.248
,y5(1+),531.13,585.64,ai(2-11)-(HCOOH)(2+),205.29351728306125,299.5908137642774,0.262
,a6-2(H2O)-(HCOOH)(1+),531.13,585.64,y10-2(H2O)(2+),205.29351728306125,299.5908137642774,0.364
,y5(1+),531.13,585.64,ai(2-11)-(NH3)-(HCOH)(2+),205.29351728306125,299.5908137642774,0.367
,y5(1+),531.13,585.64,b10-(H2O)(2+),205.29351728306125,299.5908137642774,0.367
,a6-2(H2O)-(HCOOH)(1+),531.13,585.64,y10-2(NH3)(2+),205.29351728306125,299.5908137642774,0.696
26,y5(1+),531.26,601.71,bi(2-11)-(HN=C=NH)(2+),77.20801646396781,299.03104951605144,0.121
27,,603.76,652.01,,85.54084018416164,297.1157615503809,
28,,531.29,1058.38,,21.659224490621583,296.7710565744922,
29,ai(3-4)(1+),200.86,717.01,y12(2+),50.93978573813878,293.11615011539953,0.46
30,y6(1+),659.01,911.23,ai(3-10)-2(NH3)-(HCOH)(1+),141.38591575683927,287.52842006891444,0.427
,y6(1+),659.01,911.23,b8(1+),141.38591575683927,287.52842006891444,0.45
,y6(1+),659.01,911.23,ai(3-10)-(H2O)-(HCOOH)(1+),141.38591575683927,287.52842006891444,0.456
31,b9(2+),537.68,642.05,y6-(NH3)(1+),148.44869172229065,285.95973415125434,0.316
,bi(2-10)-(HN=C=NH)(2+),537.68,642.05,y6-(NH3)(1+),148.44869172229065,285.95973415125434,0.323
,b9(2+),537.68,642.05,y6-(H2O)(1+),148.44869172229065,285.95973415125434,0.697
,bi(2-10)-(HN=C=NH)(2+),537.68,642.05,y6-(H2O)(1+),148.44869172229065,285.95973415125434,0.7
32,bi(6-10)-(HN=C=NH)-(HCOOH)(1+),574.24,642.04,y6-(NH3)(1+),48.77372574894055,285.1132768025309,0.316
,bi(6-10)-(HN=C=NH)-(HCOOH)(1+),574.24,642.04,y6-(H2O)(1+),48.77372574894055,285.1132768025309,0.683
33,a9(2+),523.65,708.64,y7-2(NH3)-(HCOH)(1+),122.98061758930267,283.4320930261857,0.282
34,,480.16,717.39,,103.00157210329155,283.3073536380776,
35,bi(10-12)(1+),329.92,537.61,b9(2+),127.24818211080442,280.41845709956726,0.759
36,b8(2+),455.99,935.25,y8(1+),42.18668172779295,278.14645302036314,0.375
37,a4-2(NH3)-(HCOH)(1+),321.04,594.47,y10-(H2O)(2+),110.07019731657982,277.96081968039505,0.198
,bi(7-11)-2(NH3)(2+),321.04,594.47,b6-(NH3)-(HCOH)(1+),110.07019731657982,277.96081968039505,0.2
,a4-2(NH3)-(HCOH)(1+),321.04,594.47,ai(5-15)-(HN=C=NH)-(HCOH)(2+),110.07019731657982,277.96081968039505,0.205
,y6-(H2O)(2+),321.04,594.47,b6-(NH3)-(HCOH)(1+),110.07019731657982,277.96081968039505,0.219
,a4-(H2O)-(HCOOH)(1+),321.04,594.47,y10-(H2O)(2+),110.07019731657982,277.96081968039505,0.228
,a4-(H2O)-(HCOOH)(1+),321.04,594.47,ai(5-15)-(HN=C=NH)-(HCOH)(2+),110.07019731657982,277.96081968039505,0.234
,a4-2(NH3)-(HCOH)(1+),321.04,594.47,y10-(NH3)(2+),110.07019731657982,277.96081968039505,0.377
,a4-(H2O)-(HCOOH)(1+),321.04,594.47,y10-(NH3)(2+),110.07019731657982,277.96081968039505,0.394
,y6-(NH3)(2+),321.04,594.47,b6-(NH3)-(HCOH)(1+),110.07019731657982,277.96081968039505,0.66
