477.52,480.25,5284227.68,7670.74
550.03,551.67,2806337.88,5973.26
428.05,432.80,1785168.40,5317.99
376.83,380.68,642838.40,4909.80
348.48,350.46,473786.82,4702.81
319.18,322.37,264409.38,3794.36
607.51,609.33,433901.72,3672.70
262.22,264.03,354221.35,3656.21
504.92,506.65,413523.59,3374.88
541.03,542.66,267478.57,3045.64
447.06,450.49,129424.15,2478.11
365.35,366.96,209292.28,2459.76
394.12,523.37,129595.87,2367.06
319.06,496.16,77880.54,2073.22
337.01,637.40,85808.44,1996.78
402.71,523.36,97645.76,1978.23
262.01,804.43,51988.94,1963.37
432.77,463.16,230713.40,1922.07
319.03,504.82,80061.02,1919.97
348.03,476.38,322039.61,1915.90
636.85,641.06,62912.25,1850.74
376.10,467.68,285220.88,1836.71
345.63,637.38,57043.17,1677.66
365.48,580.38,41623.91,1600.44
210.78,549.94,76903.11,1475.61
385.20,523.39,36973.22,1328.61
375.87,476.34,392787.64,1307.75
432.80,446.14,80898.99,1275.14
328.11,637.42,33159.30,1235.53
319.11,487.37,25038.78,1223.16
228.75,549.99,71349.84,1214.46
262.01,787.40,25221.79,1160.76
374.08,580.37,17292.08,1123.14
319.10,690.45,11416.26,1053.81
290.49,747.45,8777.61,1048.41
376.12,458.79,81199.31,973.74
356.69,580.37,12484.95,855.52
171.69,578.41,4542.98,806.51
290.47,730.37,4225.70,741.95
383.03,432.81,19741.28,682.33
376.09,450.06,29782.59,656.78
358.70,476.38,47183.14,572.84
176.75,730.48,1012.30,557.16
285.75,521.49,2475.90,539.75
176.71,747.42,1319.98,532.55
366.07,595.38,4888.91,504.37
319.08,673.36,2865.16,472.46
201.27,549.71,5673.22,454.68
204.80,747.98,1353.51,448.90
261.87,533.26,5507.02,439.83
183.55,550.02,6636.52,429.11
193.53,550.08,5085.23,421.71
402.58,504.37,14736.36,406.22
188.10,934.47,774.55,400.20
176.60,375.98,3848.93,393.46
310.27,690.44,1610.60,389.08
388.96,461.47,3471.13,386.09
174.70,567.84,699.25,382.24
314.32,637.17,3670.13,376.54
273.97,504.69,1466.86,373.38
370.46,523.56,2792.91,366.41
165.32,549.80,4532.84,366.34
131.57,589.36,539.05,362.31
228.23,540.93,6090.22,361.70
233.73,476.36,10485.82,361.37
154.70,578.75,763.78,352.27
204.77,804.49,1451.16,332.71
504.64,533.73,4090.64,321.52
412.40,804.05,4990.48,318.72
375.92,730.60,3518.73,315.78
281.83,747.80,1094.71,311.21
300.89,504.97,3262.10,305.42
330.65,476.36,13558.24,305.10
204.73,318.85,1758.01,304.65
400.47,433.01,16592.70,297.91
280.70,432.64,5854.21,297.04
376.74,722.56,2408.47,296.91
376.29,769.62,3010.11,296.35
418.28,433.38,21801.08,296.28
166.42,432.86,4480.12,289.49
171.41,504.94,1514.64,288.08
365.88,384.96,5315.32,286.08
380.32,635.52,4622.19,285.84
463.53,568.26,2970.42,284.64
432.14,562.97,5662.08,280.98
313.20,475.95,3342.00,279.40
261.83,673.91,2252.63,279.09
348.11,655.57,1485.32,278.00
748.73,804.29,1085.60,275.45
403.88,485.07,3238.47,275.36
432.77,588.97,11628.70,275.31
239.59,550.33,1993.76,273.22
261.83,515.73,1986.71,271.55
188.38,788.26,857.69,267.97
534.05,804.01,1114.07,265.53
357.88,804.35,2846.60,263.44
319.30,655.06,622.37,261.07
409.94,433.58,5436.96,260.25
540.63,732.79,1070.18,259.59
151.57,549.88,963.52,259.51
200.23,540.80,1132.45,257.85
