Index,Interpretation A,m/z A,m/z B,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
,b4(1+),376.12,458.79,y10-2(NH3)(2+),81199.30574211608,973.7371102624039,0.432
,y4(1+),376.12,458.79,bi(6-10)-(HCOH)(1+),81199.30574211608,973.7371102624039,0.465
,b4(1+),376.12,458.79,y10-2(H2O)(2+),81199.30574211608,973.7371102624039,0.561
,y4(1+),376.12,458.79,bi(6-10)-(CH3NH2)(1+),81199.30574211608,973.7371102624039,0.574
,y4(1+),376.12,458.79,b10-2(H2O)(2+),81199.30574211608,973.7371102624039,0.574
,y4(1+),376.12,458.79,a6-2(NH3)(1+),81199.30574211608,973.7371102624039,0.634
24,b8-2(NH3)(2+),356.69,580.37,y6(1+),12484.95472394239,855.5237504177395,0.469
,b8-2(H2O)(2+),356.69,580.37,y6(1+),12484.95472394239,855.5237504177395,0.528
25,,171.69,578.41,,4542.980393379801,806.5126885580667,
26,y6(2+),290.47,730.37,b8-(NH3)(1+),4225.6988435277235,741.9536533751809,0.184
,ai(9-12)(1+),290.47,730.37,b8-(NH3)(1+),4225.6988435277235,741.9536533751809,0.671
27,y8-(HN=C=NH)(2+),383.03,432.81,b5-(HCOH)(1+),19741.275432872724,682.3329063075452,0.407
,y8-(HN=C=NH)(2+),383.03,432.81,bi(2-6)-(HCOH)(1+),19741.275432872724,682.3329063075452,0.407
,y8-(HN=C=NH)(2+),383.03,432.81,a6-(HCOH)-(HCOH)(1+),19741.275432872724,682.3329063075452,0.643
28,,376.09,450.06,,29782.590005526235,656.778381896504,
29,a9-(HCOH)-(HCOH)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.151
,bi(2-9)-(CH3NH2)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.155
,b8-(CH3NH2)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.155
,b4-(NH3)(1+),358.7,476.38,y10(2+),47183.14449874571,572.8387917642627,0.462
,b4-(NH3)(1+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.465
,y4-(NH3)(1+),358.7,476.38,b10(2+),47183.14449874571,572.8387917642627,0.493
,b8-(HCOH)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.503
,bi(2-9)-(HCOH)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.503
,y4-(H2O)(1+),358.7,476.38,b10(2+),47183.14449874571,572.8387917642627,0.541
,a9-(CH3NH2)-(HCOH)(2+),358.7,476.38,y5-(NH3)-(HCOH)(1+),47183.14449874571,572.8387917642627,0.551
,b4-(H2O)(1+),358.7,476.38,y10(2+),47183.14449874571,572.8387917642627,0.568
