848.80850300	848.80850300	0.17753648E+08	0.17664673E+08	0.15005311E+04	-1
848.89205800	848.89205800	0.21025465E+08	0.20979601E+08	0.14601558E+04	-1
848.97517900	848.97517900	0.16742999E+08	0.16677590E+08	0.14326663E+04	-1
849.05846700	849.05846700	0.12617938E+08	0.12554913E+08	0.13422410E+04	-1
849.14302100	849.14302100	0.88168615E+07	0.87852378E+07	0.96970593E+03	-1
849.22643100	849.22643100	0.65863940E+07	0.65783260E+07	0.79747253E+03	-1
849.85024800	849.85024800	0.60259840E+07	0.60179766E+07	0.85589042E+03	-1
849.93016600	849.93016600	0.55654932E+07	0.55510318E+07	0.87708663E+03	-1
850.00624400	850.00624400	0.61819182E+07	0.61700999E+07	0.90031105E+03	-1
850.08202900	850.08202900	0.50586692E+07	0.50472024E+07	0.78493674E+03	-1
850.15944800	850.15944800	0.49390542E+07	0.49296689E+07	0.73185524E+03	-1
853.13526900	853.13526900	0.66454710E+07	0.66395145E+07	0.67367180E+03	-1
854.02476900	854.02476900	0.38873139E+07	0.38783332E+07	0.89042869E+03	-1
854.16836300	854.16836300	0.73768194E+07	0.73388864E+07	0.12101303E+04	-1
854.31045800	854.31045800	0.86323199E+07	0.85989632E+07	0.10531247E+04	-1
854.45430900	854.45430900	0.80091850E+07	0.79714490E+07	0.12638713E+04	-1
854.59846600	854.59846600	0.58160981E+07	0.57943534E+07	0.11253920E+04	-1
854.74190600	854.74190600	0.40920987E+07	0.40900498E+07	0.76395130E+03	-1
859.46645300	859.46645300	0.50543966E+07	0.50522463E+07	0.51849661E+03	-1
861.40702100	861.40702100	0.80837939E+07	0.80712716E+07	0.87124953E+03	-1
861.47615400	861.47615400	0.10748642E+08	0.10705073E+08	0.10166936E+04	-1
861.54720700	861.54720700	0.70262490E+07	0.70200491E+07	0.92017371E+03	-1
861.61969200	861.61969200	0.84073249E+07	0.83919429E+07	0.86686785E+03	-1
861.68819300	861.68819300	0.75427743E+07	0.75354098E+07	0.86147611E+03	-1
861.76137200	861.76137200	0.71663837E+07	0.71441223E+07	0.86287465E+03	-1
863.30639100	863.30639100	0.63772350E+07	0.63668667E+07	0.74855177E+03	-1
863.36082900	863.36082900	0.77384593E+07	0.77281059E+07	0.73247423E+03	-1
863.41563000	863.41563000	0.10767259E+08	0.10756585E+08	0.92526589E+03	-1
