,m/z A,m/z B,Ranking,selected_total,component_x1,component_x2,charge_A,charge_B,adj_mass_A,adj_mass_B,source_column,deviation,parent_isotope_idx,explanation_A,deviation_A,theoretical_mass_A,iso_A,base_name_A,explanation_B,deviation_B,theoretical_mass_B,iso_B,base_name_B,line,num_ffc
36,821.47613,951.506984,161.0,4237.411504,3285.90452,951.506984,4.0,1.0,3282.881,951.506984,4*m/z A + 1*m/z B,0.11032599999998638,0.0,,,,,,,,,,,-259.097,4
3,821.47613,951.506984,161.0,4497.473212,1642.95226,2854.520952,2.0,3.0,1641.94442,2852.505272,2*m/z A + 3*m/z B,0.14561799999955838,0.0,,,,,,,,,,,1,5
30,711.742474,775.86680803,179.0,4334.579178030001,3558.71237,775.86680803,5.0,1.0,3554.6810100000002,775.86680803,5*m/z A + 1*m/z B,0.0003480300010778592,0.0,,,,,,,,,,,-162.04,4
31,711.742474,776.06793003,180.0,4334.78030003,3558.71237,776.06793003,5.0,1.0,3554.6810100000002,776.06793003,5*m/z A + 1*m/z B,0.2014700300005643,0.0,,,,,,,,,,,-162.04,4
19,725.415372,873.30838507,197.0,4500.38524507,3627.07686,873.30838507,5.0,1.0,3623.0455,873.30838507,5*m/z A + 1*m/z B,0.23358492999977898,0.0,,,,,,,,,,,4,5
41,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+3)-262.107,0.46182599999997365,718.45966,3.0,b8,-259.097,4
44,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+6)-265.117,0.46182599999997365,718.45966,6.0,b8,-259.097,4
40,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+2)-261.104,0.46182599999997365,718.45966,2.0,b8,-259.097,4
38,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(0)-259.097,0.46182599999997365,718.45966,0.0,b8,-259.097,4
42,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+4)-263.11,0.46182599999997365,718.45966,4.0,b8,-259.097,4
43,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+5)-264.114,0.46182599999997365,718.45966,5.0,b8,-259.097,4
39,703.813394,718.921486,223.0,4237.988456,3519.06697,718.921486,5.0,1.0,3515.03561,718.921486,5*m/z A + 1*m/z B,0.46662600000036036,0.0,0,0.002440000000206055,3515.0331699999997,0.0,y29,(+1)-260.1,0.46182599999997365,718.45966,1.0,b8,-259.097,4
21,730.589966,848.09191303,233.0,4501.04174303,3652.94983,848.09191303,5.0,1.0,3648.91847,848.09191303,5*m/z A + 1*m/z B,0.4229130300009274,0.0,+6,0.22975999999971464,3649.14823,6.0,y30,,,,,,4,5
17,730.589966,847.69070007,234.0,4500.64053007,3652.94983,847.69070007,5.0,1.0,3648.91847,847.69070007,5*m/z A + 1*m/z B,0.021700070000406413,0.0,+6,0.22975999999971464,3649.14823,6.0,y30,,,,,,4,5
24,668.873562,733.43624203,262.0,4336.05477215,668.873562,3667.18121015,1.0,5.0,668.873562,3663.14985015,1*m/z A + 5*m/z B,0.4749421500000608,0.0,,,,,,,,,,,-161.039,3
25,728.921099,835.67658903,270.0,4480.28208403,3644.6054950000002,835.67658903,5.0,1.0,3640.5741350000003,835.67658903,5*m/z A + 1*m/z B,0.33474596999894857,0.0,,,,,,(+2)-16.002,0.21018902999992406,835.4664,2.0,b7,-16.002,1
26,728.921099,835.67658903,270.0,4480.28208403,3644.6054950000002,835.67658903,5.0,1.0,3640.5741350000003,835.67658903,5*m/z A + 1*m/z B,0.33474596999894857,0.0,,,,,,(+3)-17.005,0.21018903000003775,835.4663999999999,3.0,b7,-16.002,1
27,728.921099,835.67658903,270.0,4480.28208403,3644.6054950000002,835.67658903,5.0,1.0,3640.5741350000003,835.67658903,5*m/z A + 1*m/z B,0.33474596999894857,0.0,,,,,,(+4)-18.009,0.21018902999992406,835.4664,4.0,b7,-16.002,1
28,728.921099,835.67658903,270.0,4480.28208403,3644.6054950000002,835.67658903,5.0,1.0,3640.5741350000003,835.67658903,5*m/z A + 1*m/z B,0.33474596999894857,0.0,,,,,,(+5)-19.012,0.21018903000003775,835.4663999999999,5.0,b7,-16.002,1
29,728.921099,835.67658903,270.0,4480.28208403,3644.6054950000002,835.67658903,5.0,1.0,3640.5741350000003,835.67658903,5*m/z A + 1*m/z B,0.33474596999894857,0.0,,,,,,(+6)-20.015,0.21018903000003775,835.4663999999999,6.0,b7,-16.002,1
45,668.873562,743.4574,295.0,4236.992886,2006.620686,2230.3722,3.0,3.0,2004.605006,2228.35652,3*m/z A + 3*m/z B,0.4740560000009282,0.0,,,,,,,,,,,-260.1,1
4,730.589966,844.479543,353.0,4497.429373,3652.94983,844.479543,5.0,1.0,3648.91847,844.479543,5*m/z A + 1*m/z B,0.18945699999949284,0.0,+6,0.22975999999971464,3649.14823,6.0,y30,,,,,,1,5
5,731.93002419,838.88665203,397.0,4498.53677298,3659.65012095,838.88665203,5.0,1.0,3655.6187609500003,838.88665203,5*m/z A + 1*m/z B,0.08205701999941084,0.0,,,,,,,,,,,2,2
23,867.001259,867.706268,438.0,4335.711304,3468.005036,867.706268,4.0,1.0,3464.981516,867.706268,4*m/z A + 1*m/z B,0.13147400000070775,0.0,,,,,,,,,,,-161.039,3
22,848.28668607,942.54961739,460.0,4335.6963616699995,3393.14674428,942.54961739,4.0,1.0,3390.1232242799997,942.54961739,4*m/z A + 1*m/z B,0.11653166999985842,0.0,,,,,,,,,,,-161.039,3
33,847.883676,942.54961739,461.0,4334.08432139,3391.534704,942.54961739,4.0,1.0,3388.511184,942.54961739,4*m/z A + 1*m/z B,0.49450860999968427,0.0,,,,,,,,,,,-162.04,4
