,m/z A,m/z B,Ranking,comp_1_m/z A,comp_5_m/z B,1*m/z A + 5*m/z B,comp_2_m/z A,comp_4_m/z B,2*m/z A + 4*m/z B,comp_3_m/z A,comp_3_m/z B,3*m/z A + 3*m/z B,comp_4_m/z A,comp_2_m/z B,4*m/z A + 2*m/z B,comp_5_m/z A,comp_1_m/z B,5*m/z A + 1*m/z B,1*m/z A + 4*m/z B,2*m/z A + 3*m/z B,3*m/z A + 2*m/z B,4*m/z A + 1*m/z B
5385,666.376407,985.090646,19,666.376407,4925.45323,5591.829637,1332.752814,3940.362584,5273.115398,1999.129221,2955.271938,4954.401159,2665.505628,1970.181292,4635.68692,3331.8820349999996,985.090646,4316.972680999999,4606.738991,4288.024751999999,3969.310513,3650.596274
106793,634.979443,1321.728383,20,634.979443,6608.641914999999,7243.621357999999,1269.958886,5286.913532,6556.872417999999,1904.9383289999998,3965.185149,5870.1234779999995,2539.917772,2643.456766,5183.374538,3174.897215,1321.728383,4496.625598,5921.892975,5235.144034999999,4548.395095,3861.6461549999995
13582,654.637758,939.044364,21,654.637758,4695.22182,5349.859578,1309.275516,3756.177456,5065.452972,1963.913274,2817.133092,4781.0463660000005,2618.551032,1878.088728,4496.63976,3273.1887899999997,939.044364,4212.233154,4410.815214,4126.408608,3842.002002,3557.5953959999997
46980,838.48984329,915.497183,22,838.48984329,4577.485914999999,5415.975758289999,1676.97968658,3661.988732,5338.96841858,2515.46952987,2746.491549,5261.961078869999,3353.95937316,1830.994366,5184.95373916,4192.44921645,915.497183,5107.94639945,4500.47857529,4423.47123558,4346.46389587,4269.456556159999
160028,729.434083,849.462751,23,729.434083,4247.313755,4976.747838,1458.868166,3397.851004,4856.71917,2188.302249,2548.388253,4736.6905019999995,2917.736332,1698.925502,4616.661834,3647.170415,849.462751,4496.633166,4127.285087,4007.2564190000003,3887.227751,3767.199083
51924,703.813394,977.559428,24,703.813394,4887.797140000001,5591.610534,1407.626788,3910.237712,5317.8645,2111.4401820000003,2932.678284,5044.118466,2815.253576,1955.118856,4770.372432,3519.06697,977.559428,4496.626398,4614.051106,4340.305072,4066.5590380000003,3792.813004
12568,733.177995,772.95242,25,733.177995,3864.7621,4597.940095,1466.35599,3091.80968,4558.16567,2199.533985,2318.8572599999998,4518.391245,2932.71198,1545.90484,4478.61682,3665.889975,772.95242,4438.842395,3824.987675,3785.21325,3745.438825,3705.6644
9530,825.733837,1014.930057,26,825.733837,5074.650285,5900.3841219999995,1651.467674,4059.720228,5711.187902,2477.201511,3044.790171,5521.991682,3302.935348,2029.860114,5332.795462,4128.669185,1014.930057,5143.599242,4885.454065,4696.257845,4507.061625,4317.8654050000005
102324,657.1859,1192.68567,27,657.1859,5963.42835,6620.6142500000005,1314.3718,4770.74268,6085.11448,1971.5576999999998,3578.0570100000004,5549.61471,2628.7436,2385.37134,5014.1149399999995,3285.9294999999997,1192.68567,4478.61517,5427.92858,4892.42881,4356.92904,3821.4292699999996
6318,730.589966,866.10658207,28,730.589966,4330.53291035,5061.12287635,1461.179932,3464.42632828,4925.606260279999,2191.769898,2598.3197462099997,4790.08964421,2922.359864,1732.21316414,4654.57302814,3652.94983,866.10658207,4519.05641207,4195.01629428,4059.4996782099997,3923.9830621399997,3788.46644607
