,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y5 (1+) @ 519.33 & b3 (2+) @ 236.46,m1+2m2,992.25,0,0,0,0,0,0,0,0,0,0
2,y6 (2+) @ 352.17 & b2 (1+) @ 287.97,2m1+m2,992.3100000000001,0,0,0,0,0,0,0,0,0,0
3,y2 (1+) @ 276.0 & b6 (2+) @ 358.22,m1+2m2,992.44,0,0,0,0,0,0,0,0,0,0
4,y4 (1+) @ 462.2 & b4 (2+) @ 265.05,m1+2m2,992.3,0,0,0,0,0,0,0,0,0,0
5,y2 (1+) @ 275.95 & [b6-NH3] (2+) @ 349.0,m1+2m2,973.95,1,1,1,1,1,1,1,1,1,1
6,y6 (2+) @ 352.25 & a2 (1+) @ 260.09,2m1+m2,964.5899999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,b4 (1+) @ 529.34 & Im(W) @ 158.68,m1+2m2,846.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,379.75 & 197.76,2m1+m2,957.26,-1,-1,-1,-1,-1,-1,-1,2,2,2
9,[y3-NH3] (1+) @ 387.08 & [b5-NH3] (2+) @ 284.5,m1+2m2,956.0799999999999,-1,-1,-1,2,2,2,2,2,2,2
10,[y2-NH3] (2+) @ 129.42 & b7 (2+) @ 422.56,m1+2m2,974.54,-1,2,1,1,1,1,1,1,1,1
11,[bi3-7 - HCOOH] (1+) @ 511.25 & Im (W) @ 158.67,m1+2m2,828.5899999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,y1(1+) @ 146.68 & [b7-NH3](2+) @ 413.81,m1+2m2,974.3,2,1,1,1,1,1,1,1,1,1
13,bi3-6 (1+) @ 428.14 & y2 (1+) @ 276.01,m1+2m2,980.16,-1,-1,-1,-1,-1,-1,3,3,3,3
14,y4 (1+) @ 462.16 & [b4-NH3] (2+) @ 255.92,m1+2m2,974.0,1,1,1,1,1,1,1,1,1,1
15,bi2-6 (1+) @ 614.19 & y2 (1+) @ 276.05,m1+m2,890.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,y3 (1+) @ 405.15 & [b5-NH3] (2+) @ 284.45,m1+2m2,974.05,1,1,1,1,1,1,1,1,1,1
17,y5 (1+) @ 519.29 & [b3-NH3] (2+) @ 227.3,m1+2m2,973.89,1,1,1,1,1,1,1,1,1,1
18,y4 (2+) @ 231.48 & [b4-NH3] (1+) @ 511.28,2m1+m2,974.24,2,1,1,1,1,1,1,1,1,1
19,[y6 - CH3NHCH3] (1+) @ 658.39 & Im(W) 158.65,m1+2m2,,,,,,,,,,,
20,519.31 & 343.18,m1+m2,862.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,[y3-NH3] (1+) @ 387.17 & b5 (2+) @ 293.58,m1+2m2,974.3299999999999,2,1,1,1,1,1,1,1,1,1
22,583.42 & 243.89,m1+2m2,1071.1999999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,y5 (1+) @ 519.34 & [b3-H2O-NH3] (2+) @ 218.59,m1+2m2,956.52,3,3,2,2,2,2,2,2,2,2
24,360.8 & 257.89,2m1+m2,979.49,-1,-1,-1,-1,-1,-1,3,3,3,3
25,y1 (1+) @ 146.68 & b7 (2+) @ 422.86,m1+2m2,992.4000000000001,0,0,0,0,0,0,0,0,0,0
26,[y2-NH3] (2+) @ 129.33 & [b7-NH3] (2+) @ 413.55,m1+2m2,956.4300000000001,3,3,2,2,2,2,2,2,2,2
27,[b4-NH3] (1+) @ 511.38 & bi5-6 (1+) @ 186.59,m1+2m2,884.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,[y2-NH3] (2+) @ 129.46 & a6(2+) @ 342.91,m1+2m2,815.2800000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,y6(2+) @ 353.02 & [b2-H2O] (1+) @ 268.68,2m1+m2,974.72,-1,2,1,1,1,1,1,1,1,1
30,y6 (2+) @ 352.16 & [y1-H2O] (1+) @ 117.43,2m1+m2,821.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,bi2-3 (1+) @ 370.7 & ??? @ 197.72,2m1+m2,939.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,[b7+H2O] (2+) @ 431.82 & y1-H2O (1+)128.45,m1+2m2,,,,,,,,,,,
33,bi3-6 (1+) @ 428.11 & b2 (1+) @ 287.75,m1+2m2,1003.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,y3 (1+) @ 405.0 & b5 (2+) @ 293.55,m1+2m2,992.1,4,0,0,0,0,0,0,0,0,0
35,y4 (1+) @ 462.22 & [a4-NH3] (2+) @ 242.05,m1+2m2,946.32,-1,-1,-1,-1,-1,-1,-1,4,4,4
36,y4 (2+) @ 230.81 & [a4-NH3] (1+) @ 485.42,2m1+m2,947.04,-1,-1,-1,-1,-1,-1,-1,4,4,4
37,y7-H2O (2+) 436.23 & ??? @ 118.35,m1+2m2,,,,,,,,,,,
38,y5 (1+) @ 519.35 & [b3 - CH3NHCH3 – H2O] (2+) @ 205.31,m1+2m2,929.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,y1 (1+) @ 147.54 & b6 (1+) @ 715.4,2m1+m2,1010.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,[y6 - CH3-NH-CH3] (1+) @ 658.42 & bi2-2 (1+) @ 186.66,m1+2m2,1031.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,[b6 – H3C-N=CH2 - NH3] (1+) @ 654.37 & y2 (1+) @ y2 (1+) 275.92,m1+2m2,,,,,,,,,,,
42,y5 (1+) @ 519.11 & a2 (2+) @ 129.47,2m1+m2,1167.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,bi 2-5 (1+) @ 485.29 & [bi 6-7 – HCOOH] (1+) @ 212.85,m1+2m2,910.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,y6 (2+) @ 352.4 & bi2-2 (1+) @ 186.67,2m1+m2,891.4699999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,y5 (1+) @ 519.0 & ??? @ 177.74,m1+2m2,874.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,697.71 & 101.31,m1+2m2,900.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
