,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,7,992.3,0.8069799999998395
1,1,9,974.24,-17.253020000000106
2,2,5,956.4300000000001,-35.06302000000005
3,3,2,979.825,-11.66802000000007
4,4,2,946.6800000000001,-44.81302000000005
