,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y5 (1+) @ 568.12 & b5 (1+) @ 685.12,m1+m2,1253.24,0,0,0,0,0,0,0,0,0,0
2,y6 (1+) @ 671.16 & b4 (1+) @ 582.03,m1+m2,1253.19,0,0,0,0,0,0,0,0,0,0
3,y7 (1+) @ 784.38 & b3 (1+) @ 469.1,m1+m2,1253.48,-1,0,0,0,0,0,0,0,0,0
4,y4 (1+) @ 511.14 & b6 (1+) @ 742.16,m1+m2,1253.3,0,0,0,0,0,0,0,0,0,0
5,y6 (1+) @ 671.17 & [b4-H3PO4] (1+) @ 484.11,m1+m2,1155.28,1,1,1,1,1,1,1,1,1,1
6,y3 (1+) @ 410.06 & b7 (1+) @ 843.07,m1+m2,1253.13,0,0,0,0,0,0,0,0,0,0
7,[y2-NH3 ] (1+) @ 292.81 & b8 (1+) @ 942.06,m1+m2,1234.87,2,2,2,2,2,2,2,2,2,2
8,y3 (1+) @ 410.14 & [b7-H3PO4] (1+) @ 745.45,m1+m2,1155.5900000000001,-1,-1,-1,1,1,1,1,1,1,1
9,[y2-H2O] (1+) @ 292.99 & [b8-NH3] (1+) @ 924.66,m1+m2,1217.65,-1,3,3,3,3,3,3,3,3,3
10,y4 (1+) @ 511.35 & [b6-H3PO4] (1+) @ 644.83,m1+m2,1156.18,-1,-1,-1,-1,-1,1,1,1,1,1
11,[y8-NH3] (1+) @ 949.32 & b2 (1+) @ 287.66,m1+m2,1236.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,y3 (1+) @ 410.08 & [b7-NH3] (1+) @ 825.18,m1+m2,1235.26,3,4,4,2,2,2,2,2,2,2
13,[y7-NH3] (1+) @ 766.69 & b3 (1+) @ 469.17,m1+m2,1235.8600000000001,4,5,4,2,2,2,2,2,2,2
14,y2 (1+) @ 310.82 & b8 (1+) @ 941.96,m1+m2,1252.78,-1,-1,5,0,0,0,0,0,0,0
15,b9 (1+) @ 942.37 & [y2 – HCOOH – H2O] (1+) @ 246.94,m1+m2,1189.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,y2 (1+) @ 310.96 & [b8-NH3] (1+) @ 924.24,m1+m2,1235.2,3,4,4,2,2,2,2,2,2,2
17,b7 (1+) @ 843.12 & bi8-9 (1+) @ 228.81,m1+2m2,1300.74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,[y6-NH3] (1+) @ 653.25 & [b4-H3PO4] (1+) @ 484.86,m1+m2,1138.1100000000001,-1,-1,-1,4,4,4,4,4,4,4
19,[y2-NH3] (1+) @ 292.74 & b7 (1+) @ 844.74,m1+m2,1137.48,5,6,6,4,4,4,4,4,4,4
20,b5 (1+) @ 685.65 & bi6-9 (1+) @ 387.07,m1+m2,1072.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,y2 (1+) @ 310.67 & b7 (1+) @ 844.47,m1+m2,1155.14,-1,1,1,1,1,1,1,1,1,1
22,[y8-NH3] (1+) @ 947.45 & a2 (1+) @ 259.8,m1+m2,1207.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,y5 (1+) @ 568.07 & [b5-H3PO4] (1+) @ 587.19,m1+m2,1155.2600000000002,1,1,1,1,1,1,1,1,1,1
24,y1 (1+) @ 181.5 & [b9-NH3] (1+) @ 1053.38,m1+m2,1234.88,2,2,2,2,2,2,2,2,2,2
25,[y6-NH3] (1+) @ 653.29 & b4 (1+) @ 582.18,m1+m2,1235.4699999999998,-1,5,4,2,2,2,2,2,2,2
26,y4 (1+) @ 511.3 & [b6-NH3] (1+) @ 724.3,m1+m2,1235.6,-1,5,4,2,2,2,2,2,2,2
27,[b8-H2O] (1+) @ 924.37 & [y2 – HCOOH – H2O] (1+) @ 246.98,m1+m2,1171.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,[y5-NH3] (1+) @ 550.54 & b5 (1+) @ 685.25,m1+m2,1235.79,4,5,4,2,2,2,2,2,2,2
29,[b7-H2O] (1+) @ 825.19 & bi8-9 (1+) @ 228.81,m1+2m2,1282.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,[b7-H3PO4] (1+) 745.72 & bi8-9 (1+) @ 228.74,m1+2m2,,,,,,,,,,,
31,y7 (1+) @ 784.12 & b2 (1+) @ 287.76,m1+2m2,1359.6399999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,y8 (1+) @ 965.41 & b2 (1+) @ 287.94,m1+m2,1253.35,0,0,0,0,0,0,0,0,0,0
33,[b7-2(H2O)]/[b7-NH3-H2O] (1+) @ 807.36 & y3 (1+) @ 410.11,m1+m2,1217.47,-1,3,3,3,3,3,3,3,3,3
34,y1(1+) @ 181.74 & [b9-H3PO4] (1+) @ 973.65,2m1+m2,1337.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,[b7-H3PO4-H2O] (1+) @ 727.27 & y3 (1+) @ 410.25,m1+m2,1137.52,5,6,6,4,4,4,4,4,4,4
36,y1 (1+) @ 181.38 & b9 (1+) @ 1071.1,m1+m2,1252.48,-1,-1,5,0,0,0,0,0,0,0
37,b7 (1+) @ 843.61 & ai8-9 (1+) @ 200.62,m1+2m2,1244.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,[b9-H3PO4-H2O] (1+) @ 955.76 & y1 (1+) 181.5,m1+2m2,,,,,,,,,,,
39,??? @ 867.7 & [y2 – H2O] (1+) @ 291.9,m1+m2,1159.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,b6 (1+) @ 743.52 & bi7-9 (1+) @ 329.71,m1+2m2,1402.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,y2 (1+) @ 311.27 & [b7-NH3] (1+) @ 826.46,m1+m2,1137.73,-1,-1,6,4,4,4,4,4,4,4
42,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,m1+2m2,1249.3600000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,[y3-NH3] (1+) @ 392.06 & [b7-NH3] (1+) @ 824.85,m1+m2,1216.91,-1,-1,-1,5,5,3,3,3,3,3
44,728.32 & 569.4,m1+m2,1297.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,844.84 & 274.35,m1+m2,1119.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,844.25 & 806.82,m1+m2,1651.0700000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,587.33 & 538.42,m1+m2,1125.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,535.98 & 435.95,m1+2m2,1407.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,939.22 & 609.33,m1+m2,1548.5500000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,941.73 & 274.8,m1+m2,1216.53,-1,-1,-1,5,5,3,3,3,3,3
