,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y6 (1+) @ 715.44 & b6 (2+) @ 356.66,m1+2m2,1428.7600000000002,0,0,0,0,0,0,0,0,0,0
2,y5 (1+) @ 600.46 & bi5-7 (1+) @ 383.1,m1+2m2,1366.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,y2 (1+) @ 245.82 & b10 (2+) @ 591.38,m1+2m2,1428.58,0,0,0,0,0,0,0,0,0,0
4,bi5-9 (1+) @ 624.4 & y3 (1+) @ 359.18,m1+2m2,1342.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,y4 (1+) @ 487.22 & a8(2+) @ 456.75,2m1+m2,1431.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,y9 (2+) @ 557.42 & [b3-NH3] (1+) @ 296.01,2m1+m2,1410.85,1,1,1,1,1,1,1,1,1,1
7,y6 (2+) @ 359.14 & b9 (2+) @ 534.76,m1+2m2,1428.6599999999999,0,0,0,0,0,0,0,0,0,0
8,y10 (2+) @ 614.08 & b2 (1+) @ 200.71,2m1+m2,1428.8700000000001,-1,0,0,0,0,0,0,0,0,0
9,[y4-NH3] (2+) @ 234.85 & b8 (1+) @ 940.45,2m1+m2,1410.15,-1,-1,1,1,1,1,1,1,1,1
10,y5 (1+) @ 600.38 & b7 (2+) @ 414.18,m1+2m2,1428.74,0,0,0,0,0,0,0,0,0,0
11,y4 (1+) @ 487.33 & b7 (1+) @ 827.44,m1+m2,1314.77,-1,-1,-1,-1,-1,2,2,2,2,2
12,y5 (2+) @ 300.5 & b7 (1+) @ 827.42,2m1+m2,1428.42,0,0,0,0,0,0,0,0,0,0
13,y2 (1+) @ 245.82 & [b10-NH3] (2+) @ 582.35,m1+2m2,1410.52,2,1,1,1,1,1,1,1,1,1
14,y10 (2+) @ 614.08 & a2 (1+) @ 172.63,2m1+m2,1400.79,3,2,2,2,2,3,3,3,3,3
15,y6 (1+) @ 715.45 & c5 (1+) @ 559.34,m1+m2,1274.79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,y2 (1+) @ 245.79 & b9 (1+) @ 1068.42,m1+m2,1314.21,-1,-1,-1,-1,-1,2,2,2,2,2
17,y7 (2+) @ 443.34 & b5 (1+) @ 542.33,2m1+m2,1429.01,-1,0,0,0,0,0,0,0,0,0
18,y4 (2+) @ 243.98 & b8 (1+) @ 940.41,2m1+m2,1428.37,0,0,0,0,0,0,0,0,0,0
19,y1 (1+) @ 174.58 & b11 (2+) @ 626.99,m1+2m2,1428.56,0,0,0,0,0,0,0,0,0,0
20,y8 (2+) @ 491.76 & b4 (1+) @ 444.98,2m1+m2,1428.5,0,0,0,0,0,0,0,0,0,0
21,[y6-NH3] (1+) @ 698.39 & b6 (2+) @ 356.64,m1+2m2,1411.67,-1,-1,-1,-1,-1,-1,1,1,1,1
22,y6 (1+) @ 715.54 & [b6-NH3] (2+) @ 347.56,m1+2m2,1410.6599999999999,1,1,1,1,1,1,1,1,1,1
23,b6 (1+) @ 712.43 & [y2 – H2O] (1+) @ 228.63,2m1+m2,1653.4899999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,y8 (2+) @ 491.82 & a4 (1+) @ 417.1,2m1+m2,1400.74,3,2,2,2,2,3,3,3,3,3
25,y6 (2+) @ 359.14 & [b5-NH3] (1+) @ 525.62,m1+2m2,1410.38,-1,1,1,1,1,1,1,1,1,1
26,y8 (2+) @ 491.96 & [b4 - CH3SH - CO] (1+) @ 369.04,2m1+m2,1352.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,[y8-NH3] (2+) @ 482.8 & b4 (1+) @ 445.14,2m1+m2,1410.74,1,1,1,1,1,1,1,1,1,1
28,y6 (1+) @ 715.66 & bi5-6 @ 267.85,m1+2m2,1251.3600000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,y4 (1+) @ 487.09 & [bi4-7 – HCOOH] (1+) @ 468.09,m1+2m2,1423.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,[bi4-7 – HCOOH] (1+) @ 468.13 & ??? @ 445.09,2m1+m2,1381.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,y5(1+) @ 600.3 & [b7-NH3] (2+) @ 405.11,m1+2m2,1410.52,2,1,1,1,1,1,1,1,1,1
32,bi5-10 (1+) @ 737.3 & y2 (1+) @ 245.92,m1+2m2,1229.1399999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,[y10-NH3] (2+) @ 604.93 & b2(1+) @ 200.68,2m1+m2,1410.54,2,1,1,1,1,1,1,1,1,1
34,bi5-9 (1+) @ 624.41 & b4 (1+) @ 444.93,m1+2m2,1514.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,y5(1+) @ 600.44 & a5 (1+) @ 514.24,m1+2m2,1628.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,y8(2+) @ 491.95 & [b4-NH3] (1+) @ 427.07,2m1+m2,1410.97,1,1,1,1,1,1,1,1,1,1
37,bi (5-8) (1+) @ 496.41 & y4 (1+) @ 487.01,m1+2m2,1470.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,[y5-NH3](2+) @ 291.64 & b7 (1+) @ 827.56,2m1+m2,1410.84,1,1,1,1,1,1,1,1,1,1
39,y2(1+) @ 245.81 & [b9-NH3] (1+) @ 1051.61,2m1+m2,1543.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,bi (2-8) (1+) @ 841.49 & y4 (1+) @ 487.14,m1+m2,1328.63,-1,-1,-1,-1,3,4,4,4,4,4
41,b8(1+) @ 940.89 & ??? @ 195.81,m1+2m2,1332.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,y5(2+) @ 300.61 & [b7-NH3] (1+) @ 809.82,2m1+m2,1411.04,1,1,1,1,1,1,1,1,1,1
43,y4(2+) @ 243.81 & [b8-NH3] (1+) @ 922.17,2m1+m2,1409.79,-1,-1,-1,1,1,1,1,1,1,1
44,b6(1+) @ 712.31 & ??? @ 200.73,2m1+m2,1625.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,y9 (2+) @ 557.39 & ??? @ 250.74,2m1+m2,1365.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
