,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y6 (1+) @ 685.47 & b7 (2+) @ 420.68,m1+2m2,1526.83,0,0,0,0,0,0,0,0,0,0
2,y2 (1+) @ 274.0 & b11 (2+) @ 626.38,m1+2m2,1526.76,0,0,0,0,0,0,0,0,0,0
3,y6 (2+) @ 343.18 & b7 (1+) @ 840.4,2m1+m2,1526.76,0,0,0,0,0,0,0,0,0,0
4,y7 (2+) @ 407.31 & b6 (1+) @ 712.37,2m1+m2,1526.99,-1,0,0,0,0,0,0,0,0,0
5,y3 (1+) @ 387.15 & b10 (2+) @ 569.71,m1+2m2,1526.5700000000002,-1,0,0,0,0,0,0,0,0,0
6,y2 (1+) @ 273.94 & b10 (1+) @ 1138.46,m1+m2,1412.4,-1,-1,1,1,1,1,1,1,1,1
7,y1 (1+) @ 174.65 & b12 (2+) @ 675.8,m1+2m2,1526.25,-1,1,0,0,0,0,0,0,0,0
8,y3 (1+) @ 387.19 & b9 (1+) @ 1025.41,m1+m2,1412.6000000000001,-1,-1,1,1,1,1,1,1,1,1
9,c6 (1+) @ 729.52 & y6 (1+) @ 685.6,m1+m2,1415.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,y6 (1+) @ 685.52 & b6(1+) @ 712.65,m1+m2,1398.17,-1,-1,-1,2,2,2,2,2,2,2
11,y3 (2+) @ 193.8 & [b10-NH3] (1+) @ 1121.15,2m1+m2,1508.75,-1,-1,2,3,3,3,3,3,3,3
12,b6 (1+) @ 712.35 & bi7-8 (1+) @ 242.83,2m1+m2,1667.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,bi2-9 (1+) @ 912.43 & y4 (1+) 500.2,m1+2m2,,,,,,,,,,,
14,y3 (1+) @ 387.1 & [b10-NH3] (2+) @ 560.95,m1+2m2,1509.0,1,2,2,3,3,3,3,3,3,3
15,y2 (1+) @ 274.1 & [b11-NH3] (2+) @ 617.47,m1+2m2,1509.04,1,2,2,3,3,3,3,3,3,3
16,[y9-NH3] (2+) @ 500.36 & b8 (1+) @ 954.34,m1+m2,1454.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,B6 (1+) 712.44 & [bi7-10 – HCONH2] (1+) 382.53,m1+2m2,,,,,,,,,,,
18,[y7-NH3] (2+) @ 398.45 & b6 (1+) @ 712.41,2m1+m2,1509.31,-1,2,2,3,3,3,3,3,3,3
19,y1(1+) @ 174.59 & [b12-NH3] (2+) @ 666.97,m1+2m2,1508.53,2,3,2,3,3,3,3,3,3,3
20,518.11 & 319.86,2m1+m2,1356.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,y4 (2+) @ 250.34 & b9 (1+) @ 1025.4,2m1+m2,1526.0800000000002,-1,1,0,0,0,0,0,0,0,0
22,y3 (1+) @ 387.14 & [a10-NH3] (2+) @ 547.28,m1+2m2,1481.6999999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,b7 (1+) @ 840.43 & [bi8-10 – HCONH2] (1+) @ 253.8,m1+2m2,1348.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,y1 (1+) @ 174.67 & b11 (1+) @ 1251.44,2m1+m2,1600.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,y6 (2+) @ 343.17 & [b7-NH3] (1+) @ 822.63,2m1+m2,1508.97,1,2,2,3,3,3,3,3,3,3
26,b6 (1+) @ 712.2 & [bi7-8 – NH3] (1+) 225.78,m1+2m2,,,,,,,,,,,
27,bi3-9 (1+) @ 855.2 & y4 (1+) 500.38,m1+2m2,,,,,,,,,,,
28,840.47 & 298.93,m1+2m2,1438.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,y4 (2+) @ 250.5 & [b9-NH3] (1+) @ 1008.11,2m1+m2,1509.1100000000001,1,2,2,3,3,3,3,3,3,3
30,[bi3-9 -H2O] (1+) @ 837.58 & y4 (1+) @ 500.18,m1+m2,1337.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,c7 (1+) @ 857.81 & [z6 – H2O] (1+) @ 325.64,m1+2m2,1509.09,1,2,2,3,3,3,3,3,3,3
32,y5 (2+) @ 286.06 & b8 (1+) @ 954.34,2m1+m2,1526.46,-1,0,0,0,0,0,0,0,0,0
33,y10 (2+) @ 613.96 & b3 (1+) @ 299.83,2m1+m2,1527.75,-1,-1,-1,-1,-1,-1,-1,0,0,0
34,y6 (1+) @ 685.7 & b5 (1+) @ 565.38,m1+m2,1251.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,y2 (1+) @ 273.99 & ai10-11 (1+) @ 198.67,2m1+m2,746.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,bi5-9 (1+) @ 518.33 & y4 (1+) @ 500.42,m1+2m2,1519.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,y5 (2+) @ 286.06 & [b8-NH3] (1+) @ 937.39,2m1+m2,1509.51,3,4,2,3,3,3,3,3,3,3
38,b7 (1+) @ 840.79 & bi8-9 (1+) @ 185.67,m1+2m2,1212.1299999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,c11 (2+) @ 634.43 & [z2-H2O] (1+) @ 239.69,2m1+m2,1508.55,2,3,2,3,3,3,3,3,3,3
40,447.1 & 337.82,2m1+m2,1232.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,[y10-NH3] (2+) @ 604.9 & b3 (1+) @ 299.81,2m1+m2,1509.61,3,4,2,3,3,3,3,3,3,3
42,bi(4-8) (1+) @ 655.43 & b3 (1+) @ 299.94,2m1+m2,1610.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,537.05 & 461.15,2m1+m2,1535.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,bi5-9 (1+) @ 518.15 & [bi3-4 – HCOOH] (1+) @ 291.85,2m1+m2,1328.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,bi5-11 (1+) @ 744.47 & y2 (1+) @ 274.17,m1+2m2,1292.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,y1 (1+) @ 174.58 & b11 (2+) @ 626.04,m1+2m2,1426.6599999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,524.22 & 313.54,2m1+m2,1361.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,y2 (1+) @ 273.88 & [b10-NH3] (1+) @ 1122.11,m1+m2,1395.9899999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,y6 (1+) @ 685.28 & b6 (2+) @ 356.25,m1+2m2,1397.78,-1,-1,-1,2,2,2,2,2,2,2
50,395.09 & 332.94,2m1+m2,1123.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
