,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
41,[y10 – HN=C=NH – H2O] (1+) @ 891.45 & [b4-HCONH2] (1+) @ 330.79,m1+m2,1222.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,[b9 + H2O] (1+) @ 822.35 & [y5-H2O] @ 505.13,m1+m2,1327.48,3,0,0,0,0,0,0,0,0,0
43,[y9 - CH3-NH2] (1+) @ 833.1 & b5 (1+) @ 463.4,m1+m2,1296.5,-1,5,7,7,8,8,7,7,7,7
44,[y3-NH3] (1+) @ 302.06 & [a11-NH3](1+) @ 963.02,m1+m2,1265.08,-1,4,5,5,6,6,6,6,6,6
45,[y10 - HN=C=N-CH3– H2O] @ 877.52 & a4 (1+) @ 348.45,m1+m2,1225.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,[y7 - H2O] (1+) @ 618.99 & [b7-NH3] (1+) @ 673.79,m1+m2,1292.78,-1,-1,6,6,7,7,3,3,3,3
47,[y8-NH3] (1+) @ 790.42 & [b5-NH3] (1+) @ 445.39,m1+m2,1235.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,y3 (1+) @ 318.85 & b11 (1+) @ 1008.58,m1+m2,1327.43,3,0,0,0,0,0,0,0,0,0
49,[y9 - CH3-NH2 – NH3] (1+) @ 816.74 & [b4-NH3] (1+) @ 359.27,m1+m2,1176.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,[y10 - HN=C=N-CH3] @ 895.4 & [bi(2-4) – H2O – NH3] (1+) @ 284.64,m1+2m2,1464.6799999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
