,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,9,1526.76,0.9867900000001555
1,1,2,1412.5,-113.27320999999984
2,2,2,1397.975,-127.79820999999993
3,3,11,1509.04,-16.733209999999872
