,each_original_data,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,2m1+m2,1507.85,0,0,0,0,0,0,0,0,0,0
2,y6(2+) @ 445.29 & [b5-NH3] (1+) @ 617.14,2m1+m2,1507.72,1,0,0,0,0,0,0,0,0,0
3,y5(2+) @ 323.67 & [b6-NH3] (1+) @ 860.17,2m1+m2,1507.51,2,0,0,0,0,0,0,0,0,0
4,y9(2+) @ 633.88 & [b2-NH3] (1+) @ 239.74,2m1+m2,1507.5,2,0,0,0,0,0,0,0,0,0
5,bi5-8 (1+) @ 1553.17 & y3 (1+) @ 452.35,m1+m2,2005.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,bi5-9 (1+) @ 684.16 & y2 (1+) @ 321.1,2m1+m2,1689.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,y6(2+) @ 445.35 & a3(1+) @ 378.1,2m1+m2,1268.8000000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,y5+ @ 646.41 & bi5-6 (1+) @ 359.02,2m1+m2,1651.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,503.73 & 498.42,2m1+m2,1505.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,[b5-H2O-NH3] (1+) @ 599.96 & y6 (2+) @ 445.31,m1+2m2,1490.58,-1,-1,-1,1,1,1,1,1,1,1
11,y5 (1+) 646.38 & ai5-6 (1+) @ 330.84,m1+2m2,,,,,,,,,,,
12,y4(1+) @ 589.39 & [a6-NH3](2+) @ 416.05,2m1+m2,1594.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,y3(1+) @ 452.19 & [b8-NH3](2+) @ 527.73,m1+2m2,1507.65,1,0,0,0,0,0,0,0,0,0
14,[b6-2(H2O)] (1+) @ 842.68 & y5 (2+) @ 323.57,m1+2m2,1489.82,-1,-1,-1,2,2,2,2,1,1,1
15,y8(2+) @ 560.27 & [a3-NH3](1+) @ 358.97,2m1+m2,1479.51,-1,1,1,3,3,3,3,2,2,2
16,[b4-H2O-NH3] (1+) @ 485.79 & [y7- CHONH2] (2+) @ 480.35,2m1+m2,1451.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,bi5-10 (1+) @ 840.5 & y1 (1+) 164.73,m1+2m2,,,,,,,,,,,
18,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,2m1+m2,1479.39,-1,1,1,3,3,3,3,2,2,2
19,[y8-NH3](2+) @ 551.2 & [b3-NH3](1+) @ 387.05,2m1+m2,1489.45,-1,2,2,2,2,2,2,1,1,1
20,y9(2+) @ 634.16 & b2(1+) @ 257.79,2m1+m2,1526.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,[y7-NH3] (2+) @ 494.13 & [b4-HCOH – H2O] (1+) @ 456.16,2m1+m2,1444.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,bi5-9 (1+) @ 656.39 & y2 (1+) @ 321.11,2m1+m2,1633.8899999999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,y7 (2+) @ 502.88 & [b4-HCOH – H2O] (1+) @ 455.94,2m1+m2,1461.7,-1,-1,-1,-1,-1,4,4,3,3,3
24,[y7 – NH3] 2+ @ 494.11 & bi3-4 @ 262.78,2m1+m2,1251.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,[bi5-9 – CH3CH2SCH3] (1+) @ 608.2 & y2 (1+) @ 320.89,2m1+m2,1537.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,[y9-NH3] (2+) @ 624.77 & [b2-NH3] (1+) @ 239.79,2m1+m2,1489.33,-1,2,2,2,2,2,2,1,1,1
27,bi3-8 (1+) @ 815.6 & y3 (1+) @ 452.34,m1+2m2,1720.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,[b4-HCOH – H2O] (1+) @ 456.12 & y2 (1+) @ 321.07,2m1+m2,1233.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,[y7 – NH3] (2+) @ 494.28 & [b4 - H2O – NH3] (1+) @ 484.76,2m1+m2,1473.32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,m1+2m2,1596.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,y8 (2+) @ 560.59 & [b3 – 2(H2O)] (1+) @ 369.82,2m1+m2,1491.0,3,3,3,1,1,1,1,1,1,1
32,y5 (1+) @ 646.41 & bi5-6 (1+) @ 312.22,2m1+m2,1605.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,y9 (2+) @ 634.11 & [b2 – H2O – NH3] (1+) @ 222.72,2m1+m2,1490.94,3,3,3,1,1,1,1,1,1,1
34,b8 (2+) @ 536.55 & ??? @ 454.17,2m1+m2,1527.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,y1(1+) @ 164.91 & [b10-NH3](2+) @ 671.48,m1+2m2,1507.8700000000001,0,0,0,0,0,0,0,0,0,0
36,y4(2+) @ 294.78 & [b7-NH3](1+) @ 917.61,2m1+m2,1507.17,-1,-1,-1,0,0,0,0,0,0,0
37,bi3-9 (1+) @ 946.47 & y2 (1+) 321.09,m1+2m2,,,,,,,,,,,
38,bi5-9 (1+) @ 683.85 & bi3-4 (1+) @ 263.1,2m1+m2,1630.8000000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,591.11 & 398.48,2m1+m2,1580.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,y9 (2+) @ 634.11 & ??? @ 194.76,2m1+m2,1462.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,[y8-NH3] (2+) @ 551.28 & [a3-H2O] (1+) @ 358.64,2m1+m2,1461.1999999999998,-1,-1,-1,-1,-1,4,4,3,3,3
42,y8(2+) @ 560.81 & ??? @ 342.47,2m1+m2,1464.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,y4(1+) @ 589.96 & ??? @ 329.12,2m1+m2,1509.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
44,bi5-10 (1+) @ 840.36 & [b4 – H2O – NH3] (1+) @ 485.91,m1+m2,1326.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,518.97 & 454.06,2m1+m2,1492.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
46,y5 (1+) @ 646.3 & [b4-HCOH – H2O] (1+) @ 456.09,m1+2m2,1558.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,y6 (1+) @ 889.27 & a3 (1+) @ 378.19,m1+2m2,1645.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,[b4 – H2O – NH3] (1+) @ 484.86 & y2 (1+) @ 320.83,2m1+m2,1290.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,y5 (2+) @ 323.7 & [a6-NH3] (1+) @ 832.58,2m1+m2,1479.98,-1,-1,-1,-1,3,3,3,2,2,2
50,567.88 & 374.49,2m1+m2,1510.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
