,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,10,1428.62,0.8186600000001363
1,1,14,1410.6999999999998,-17.101339999999936
2,2,2,1314.49,-113.31133999999975
3,3,2,1400.7649999999999,-27.036339999999882
4,4,2,1328.835,-98.96633999999972
