,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,8,1253.2150000000001,-0.2732799999996587
1,1,5,1155.28,-98.20827999999983
2,2,8,1235.3649999999998,-18.123280000000022
3,3,4,1217.19,-36.29827999999975
4,4,4,1137.625,-115.8632799999998
