,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,7,1507.65,-15.912220000000161
1,1,7,1490.58,-32.982220000000325
2,2,3,1479.51,-44.05222000000026
3,3,2,1461.4499999999998,-62.112220000000434
