,Cluster ID,Cluster Size,Median Mass (Da),Difference from Actual Mass (Da)
0,0,6,1327.69,0.06753999999978078
1,1,6,1310.6799999999998,-16.942460000000438
2,2,3,1279.71,-47.91246000000024
3,3,5,1293.47,-34.15246000000025
4,4,4,1262.005,-65.61746000000016
5,5,2,1249.4650000000001,-78.15746000000013
6,6,3,1265.21,-62.41246000000024
7,7,2,1296.44,-31.18246000000022
