,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
1,y8(2+) @ 560.4 & [b3-NH3] (1+) @ 387.05,y8,,,2+,560.4,b3,NH3,-,1+,387.05,0.0,17.02654910112,1117.39264,404.16958,559.70357,388.15028089888,0.6964299999999639,-1.100280898879987,947.45,1507.85,1334.5,2m1+m2,1507.85,0,0,0,0,0,0,0,0,0,0
2,y6(2+) @ 445.29 & [b5-NH3] (1+) @ 617.14,y6,,,2+,445.29,b5,NH3,-,1+,617.14,0.0,17.02654910112,887.3387600000001,634.2234599999999,444.67663000000005,618.2041608988799,0.6133699999999749,-1.0641608988798907,1062.43,1507.72,1679.57,2m1+m2,1507.72,1,0,0,0,0,0,0,0,0,0
3,y5(2+) @ 323.67 & [b6-NH3] (1+) @ 860.17,y5,,,2+,323.67,b6,NH3,-,1+,860.17,0.0,17.02654910112,644.3091000000001,877.25312,323.1618,861.2338208988799,0.508199999999988,-1.0638208988799533,1183.84,1507.51,2044.01,2m1+m2,1507.51,2,0,0,0,0,0,0,0,0,0
4,y9(2+) @ 633.88 & [b2-NH3] (1+) @ 239.74,y9,,,2+,633.88,b2,NH3,-,1+,239.74,0.0,17.02654910112,1264.4610500000001,257.10117,633.237775,241.08187089888003,0.6422249999999394,-1.3418708988800176,873.62,1507.5,1113.3600000000001,2m1+m2,1507.5,2,0,0,0,0,0,0,0,0,0
5,bi5-8 (1+) @ 1553.17 & y3 (1+) @ 452.35,bi5-8,,,1+,1553.17,y3,,,1+,452.35,0.0,0.0,552.13697,450.22873000000004,553.14422,451.23598000000004,1000.02578,1.1140199999999822,2005.52,3558.69,2457.87,m1+m2,2005.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,bi5-9 (1+) @ 684.16 & y2 (1+) @ 321.1,bi5-9,,,1+,684.16,y2,,,1+,321.1,0.0,0.0,683.17746,319.18824,684.18471,320.19549,-0.02471000000002732,0.9045100000000161,1005.26,1689.42,1326.3600000000001,2m1+m2,1689.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,y6(2+) @ 445.35 & a3(1+) @ 378.1,y6,,,2+,445.35,a3,,,1+,378.1,0.0,0.0,887.3387600000001,376.15898,444.67663000000005,377.16623,0.6733699999999772,0.9337700000000382,823.45,1268.8000000000002,1201.5500000000002,2m1+m2,1268.8000000000002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,y5+ @ 646.41 & bi5-6 (1+) @ 359.02,,,,,646.41,bi5-6,,,1+,359.02,0.0,0.0,,358.0566,,359.06385,,-0.04385000000002037,1005.43,1651.84,1364.4499999999998,2m1+m2,1651.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,503.73 & 498.42,,,,,503.73,,,,,498.42,0.0,0.0,,,,,,,1002.1500000000001,1505.88,1500.5700000000002,2m1+m2,1505.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,[b5-H2O-NH3] (1+) @ 599.96 & y6 (2+) @ 445.31,b5,H2O-NH3,-,1+,599.96,y6,,,2+,445.31,35.03711378515,0.0,634.2234599999999,887.3387600000001,600.1935962148499,444.67663000000005,-0.23359621484985382,0.6333699999999567,1045.27,1645.23,1490.58,m1+2m2,1490.58,-1,-1,-1,1,1,1,1,1,1,1
