,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID eps_0.1,Cluster ID eps_0.2,Cluster ID eps_0.3,Cluster ID eps_0.4,Cluster ID eps_0.5,Cluster ID eps_0.6,Cluster ID eps_0.7,Cluster ID eps_0.8,Cluster ID eps_0.9,Cluster ID eps_1.0
20,519.31 & 343.18,,,,,519.31,,,,,343.18,0.0,0.0,,,,,,,862.49,1381.8,1205.67,m1+m2,862.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,[y3-NH3] (1+) @ 387.17 & b5 (2+) @ 293.58,y3,NH3,-,1+,387.17,b5,,,2+,293.58,17.02654910112,0.0,404.19069999999994,585.30232,388.17140089887994,293.65841,-1.001400898879922,-0.07841000000001941,680.75,1067.92,974.3299999999999,m1+2m2,974.3299999999999,2,1,1,1,1,1,1,1,1,1
22,583.42 & 243.89,,,,,583.42,,,,,243.89,0.0,0.0,,,,,,,827.31,1410.73,1071.1999999999998,m1+2m2,1071.1999999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,y5 (1+) @ 519.34 & [b3-H2O-NH3] (2+) @ 218.59,y5,,,1+,519.34,b3,H2O-NH3,-,2+,218.59,0.0,35.03711378515,518.23362,471.25939999999997,519.24087,219.118393107425,0.09913000000005923,-0.5283931074249892,737.9300000000001,1257.27,956.52,m1+2m2,956.52,3,3,2,2,2,2,2,2,2,2
24,360.8 & 257.89,,,,,360.8,,,,,257.89,0.0,0.0,,,,,,,618.69,979.49,876.5799999999999,2m1+m2,979.49,-1,-1,-1,-1,-1,-1,3,3,3,3
25,y1 (1+) @ 146.68 & b7 (2+) @ 422.86,y1,,,1+,146.68,b7,,,2+,422.86,0.0,0.0,146.10551999999998,843.3875,147.11276999999998,422.701,-0.43276999999997656,0.15899999999999181,569.54,716.22,992.4000000000001,m1+2m2,992.4000000000001,0,0,0,0,0,0,0,0,0,0
26,[y2-NH3] (2+) @ 129.33 & [b7-NH3] (2+) @ 413.55,y2,NH3,-,2+,129.33,b7,NH3,-,2+,413.55,17.02654910112,17.02654910112,275.14811,843.3875,130.06803044944,414.18772544944,-0.7380304494399752,-0.6377254494399835,542.88,672.21,956.4300000000001,m1+2m2,956.4300000000001,3,3,2,2,2,2,2,2,2,2
27,[b4-NH3] (1+) @ 511.38 & bi5-6 (1+) @ 186.59,b4,NH3,-,1+,511.38,bi5-6,,,1+,186.59,17.02654910112,0.0,528.28086,186.06404999999998,512.26156089888,187.07129999999998,-0.881560898880025,-0.4812999999999761,697.97,1209.35,884.56,m1+2m2,884.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,[y2-NH3] (2+) @ 129.46 & a6(2+) @ 342.91,y2,NH3,-,2+,129.46,a6,,,2+,342.91,17.02654910112,0.0,275.14811,686.3343100000001,130.06803044944,344.17440500000004,-0.6080304494399797,-1.2644050000000107,472.37,601.83,815.2800000000001,m1+2m2,815.2800000000001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,y6(2+) @ 353.02 & [b2-H2O] (1+) @ 268.68,y6,,,2+,353.02,b2,H2O,-,1+,268.68,0.0,18.01056468403,702.36603,287.12699,352.190265,270.12367531597,0.829734999999971,-1.4436753159699833,621.7,974.72,890.38,2m1+m2,974.72,-1,2,1,1,1,1,1,1,1,1
