,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
47,600.917622,1273.56724,120,4278.15535,5,1,y24+1,b12+2,2.9999999999998654,"b+2, y+1",0.011359999999513093,0.006720000000086657,0.020439999999325664,3000.5453900000007,1273.56052
77,544.254023,797.411735,338,4278.154986,2,4,b10+2,y26+1,2.9999999999998654,"b+2, y+1",0.0037359999998898274,0.013979999998809944,0.020075999998880434,1087.49647,3186.609440000001
10,601.318534,1271.561877,24,4278.154547,5,1,y24+3,b12,2.9999999999998654,y+3,0.009219999999459105,0.008057000000007974,0.019636999999420368,3002.5520900000006,1271.55382
23,600.764907,769.156,46,4278.153813999999,2,4,b11,y25+3,2.9999999999998654,y+3,0.005263999999897351,0.011279999998805579,0.018903999998656218,1200.51671,3073.589200000001
27,695.155257,802.377346,57,4278.153631,5,1,y29+3,b7,2.9999999999998654,y+3,0.011974999998983549,0.004386000000067725,0.01872099999945931,3471.732950000001,802.3729599999999
29,543.251153,797.912948,60,4278.154098,2,4,b10,y26+3,2.9999999999998654,y+3,0.004695999999967171,0.012131999998928222,0.01918799999930343,1085.4897700000001,3188.616140000001
35,688.334021,717.963521,71,4278.151626,1,5,b6,y30+3,2.9999999999998654,y+3,0.003991000000041822,0.010364999999183055,0.016715999999178166,688.33003,3585.775880000001
40,344.6702,897.203353,95,4278.1538120000005,2,4,b6,y30+3,2.9999999999998654,y+3,0.002530000000092514,0.014011999998729152,0.018901999999798136,688.33003,3585.775880000001
74,636.283588,751.396591,274,4278.153539999999,2,4,b12,y24+3,2.9999999999998654,y+3,0.005515999999943233,0.010753999998996733,0.01862999999866588,1271.55382,3002.5520900000006
82,261.124746,803.405836,411,4278.153926,1,5,b2,y34+3,2.9999999999998654,y+3,0.0014060000000313266,0.015249999999014108,0.01901599999928294,261.12334,4012.982570000001
36,450.720158,844.429283,78,4279.157448,2,4,b8+1,y28+3,3.99999999999982,"b+1, y+3",0.003406000000154563,0.01342199999908189,0.01918799999930343,900.4290699999999,3374.680190000001
42,479.231065,830.173742,105,4279.157098,2,4,b9+1,y27+3,3.99999999999982,"b+1, y+3",0.003760000000056607,0.012717999998585583,0.018837999999050226,957.45053,3317.658730000001
64,601.266495,769.156,217,4279.1569899999995,2,4,b11+1,y25+3,3.99999999999982,"b+1, y+3",0.005089999999881911,0.011279999998805579,0.018729999998868152,1201.52006,3073.589200000001
66,636.785183,751.396591,231,4279.15673,2,4,b12+1,y24+3,3.99999999999982,"b+1, y+3",0.005355999999892447,0.010753999998996733,0.01846999999906984,1272.55717,3002.5520900000006
70,345.171709,897.203353,253,4279.15683,2,4,b6+1,y30+3,3.99999999999982,"b+1, y+3",0.0021980000001349254,0.014011999998729152,0.018569999999272113,689.3333799999999,3585.775880000001
37,543.251153,798.163488,83,4279.156258,2,4,b10,y26+4,3.99999999999982,y+4,0.004695999999967171,0.010941999998976826,0.017997999999352032,1085.4897700000001,3189.619490000001
55,695.355787,802.377346,155,4279.156281,5,1,y29+4,b7,3.99999999999982,y+4,0.01127499999893189,0.004386000000067725,0.018020999998952902,3472.736300000001,802.3729599999999
67,344.6702,897.453992,237,4279.156368,2,4,b6,y30+4,3.99999999999982,y+4,0.002530000000092514,0.013217999998687446,0.018107999999301683,688.33003,3586.779230000001
72,601.5189,1271.561877,265,4279.156377,5,1,y24+4,b12,3.99999999999982,y+4,0.007699999999658758,0.008057000000007974,0.01811699999962002,3003.5554400000005,1271.55382
76,450.218633,844.679653,309,4279.1558780000005,2,4,b8,y28+4,3.99999999999982,y+4,0.003706000000079257,0.01155199999902834,0.017617999999856693,899.42572,3375.683540000001
79,261.124746,803.606313,362,4279.156311000001,1,5,b2,y34+4,3.99999999999982,y+4,0.0014060000000313266,0.014284999999290449,0.018051000000014028,261.12334,4013.985920000001
