,m/z A,m/z B,Ranking,selected_total,charge_A,charge_B,explanation_A,explanation_B,parent_isotope_idx,isotopic_classification,deviation_A,deviation_B,deviation,theoretical_mass_A,theoretical_mass_B
6,694.286283,1232.679204,1809,16960.189824,12,7,,,0.0,Parent,,,0.08745400001498638,,
8,886.20524,926.965682,4035,16960.180886000002,16,3,,,0.0,Parent,,,0.07851600001595216,,
22,720.33549,902.207794,10257,16960.075782,1,18,,,0.0,Parent,,,0.026587999986077193,,
30,889.958045,894.199998,13718,16960.106291,7,12,,,0.0,Parent,,,0.003921000014088349,,
43,891.457481,898.953021,17953,16960.178759000002,16,3,,,0.0,Parent,,,0.07638900001620641,,
48,876.709668,1179.261199,20388,16960.035223,18,1,,,0.0,Parent,,,0.0671469999870169,,
52,409.736522,919.464686,22556,16960.10087,1,18,,,0.0,Parent,,,0.0014999999875726644,,
60,655.359824,1002.147949,24338,16960.082281,6,13,,,0.0,Parent,,,0.020088999986910494,,
71,855.172902,1211.04955,30630,16960.038434000002,17,2,,,0.0,Parent,,,0.06393599998409627,,
78,889.958045,940.766821,31885,16960.011631,18,1,,,0.0,Parent,,,0.09073899998475099,,
79,883.94557,938.96428,32051,16960.02196,16,3,,,0.0,Parent,,,0.08040999998775078,,
81,883.956678,966.430778,32856,16960.125082000002,17,2,,,0.0,Parent,,,0.022712000016326783,,
82,855.674364,933.709875,32985,16960.132515,10,9,,,0.0,Parent,,,0.030145000015181722,,
92,873.2009,1057.842719,35975,16960.100738,17,2,,,0.0,Parent,,,0.0016319999849656597,,
95,844.418759,927.705137,37860,16960.106579,8,11,,,0.0,Parent,,,0.004209000013361219,,
98,886.955319,898.953021,38502,16960.130379000002,10,9,,,0.0,Parent,,,0.02800900001602713,,
99,846.732653,1021.162037,38829,16960.067327,14,5,,,0.0,Parent,,,0.03504299998530769,,
105,872.689221,897.956879,41043,16960.110069,4,15,,,0.0,Parent,,,0.007699000012507895,,
109,877.197287,894.448102,42192,16960.012307999998,2,17,,,0.0,Parent,,,0.09006199998839293,,
111,855.172902,973.801008,44497,16960.053774,13,6,,,0.0,Parent,,,0.04859599998599151,,
125,889.958045,940.836838,50316,16960.081648,18,1,,,0.0,Parent,,,0.020721999986562878,,
129,883.41091,927.221098,51656,16960.048042,15,4,,,0.0,Parent,,,0.05432799998743576,,
138,884.696825,901.454846,54520,16960.061864,10,9,,,0.0,Parent,,,0.04050599998663529,,
143,869.68431,924.203777,55120,16960.157626,11,8,,,0.0,Parent,,,0.055256000014196616,,
145,851.670963,897.461094,55918,16960.180524,2,17,,,0.0,Parent,,,0.07815400001345552,,
150,890.957775,898.953021,59696,16960.178709,15,4,,,0.0,Parent,,,0.07633900001383154,,
162,884.746851,895.44869,62580,16960.015915,5,14,,,0.0,Parent,,,0.08645499998601736,,
163,672.883173,1020.82773,63093,16960.114971,7,12,,,0.0,Parent,,,0.012601000013091834,,
167,883.444093,1058.176074,65583,16960.169748,18,1,,,0.0,Parent,,,0.06737800001428695,,
171,879.941399,1121.2159,66066,16960.161082000002,18,1,,,0.0,Parent,,,0.05871200001638499,,
174,891.457481,902.710349,67467,16960.197874999998,17,2,,,0.0,Parent,,,0.09550500001205364,,
183,872.950238,894.947526,70957,16960.008418,2,17,,,0.0,Parent,,,0.09395199998471071,,
196,883.94557,900.449577,73849,16960.0059,9,10,,,0.0,Parent,,,0.0964699999858567,,
205,886.955319,922.966932,79605,16960.1859,16,3,,,0.0,Parent,,,0.08353000001443434,,
212,891.457481,895.198101,82686,16960.135859,13,6,,,0.0,Parent,,,0.03348900001583388,,
217,883.94557,897.708926,84074,16960.126102,7,12,,,0.0,Parent,,,0.02373200001238729,,
220,876.695401,919.962525,84974,16960.082487,12,7,,,0.0,Parent,,,0.019882999986293726,,
224,872.939177,919.712623,86954,16960.031931,11,8,,,0.0,Parent,,,0.07043899998461711,,
227,883.956678,894.947526,88190,16960.039602,4,15,y33,,0.0,Parent,0.05037199999878794,,0.0627679999852262,3532.752820000001,
230,759.012528,1182.145538,88923,16960.036092000002,13,6,,,0.0,Parent,,,0.06627799998386763,,
235,846.732653,933.960189,89834,16960.195767,9,10,,,0.0,Parent,,,0.0933970000151021,,
236,648.251839,938.464043,89856,16960.180205,3,16,,,0.0,Parent,,,0.07783500001460197,,
127,872.447463,901.956625,51337,16960.120903,6,13,y48+2,,0.0,y+2,0.03956200000084209,,0.018533000013121637,5229.6851400000005,
10,886.705372,895.44869,4655,16961.065202,6,13,,,0.9999999999990486,Parent+0 (Unannotated),,,0.04051799998342176,,
12,852.171187,937.713986,5536,16961.137744,10,9,,,0.9999999999990486,Parent+0 (Unannotated),,,0.032024000014644116,,
13,886.705372,909.458425,6250,16961.167332999998,14,5,,,0.9999999999990486,Parent+0 (Unannotated),,,0.06161300001258496,,
23,695.287678,983.801129,10919,16961.140744999997,6,13,,,0.9999999999990486,Parent+0 (Unannotated),,,0.035025000011955854,,
32,884.196196,937.96417,13831,16961.031646,16,3,,,0.9999999999990486,Parent+0 (Unannotated),,,0.07407399998555775,,
37,876.946427,936.774655,15399,16961.123252999998,14,5,,,0.9999999999990486,Parent+0 (Unannotated),,,0.01753300001291791,,
38,872.939177,897.956879,15709,16961.109893,4,15,,,0.9999999999990486,Parent+0 (Unannotated),,,0.004173000015725847,,
40,703.291495,928.206865,16386,16961.184325000002,3,16,,,0.9999999999990486,Parent+0 (Unannotated),,,0.07860500001697801,,
49,883.41091,927.470198,20550,16961.044442,15,4,,,0.9999999999990486,Parent+0 (Unannotated),,,0.061277999986486975,,
50,647.250748,938.713248,21288,16961.164212,3,16,,,0.9999999999990486,Parent+0 (Unannotated),,,0.0584920000146667,,
53,869.197345,895.44869,22602,16961.02242,2,17,,,0.9999999999990486,Parent+0 (Unannotated),,,0.08329999998386484,,
