m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B	line_id	i	j	line_offset	matched_offset	line_n_points	is_parental	ffc_index	mz1_A	mz1_B	charge_A	charge_B	envelope_id_A	envelope_id_B	deconvoluted_mz_A	deconvoluted_mz_B	monoisotopic_mass_A	monoisotopic_mass_B	isotope_similarity_A	isotope_similarity_B
1009.566717	300.156407	11133347.0	8090090.7	252.4677	100	3074.820557	33528.605469	0	1	2	1.01	1.00335	16	False	199	1009.566717	599.305534	1	2	24	11	1008.564	599.306	1007.5567	598.2987	0.9817	
645.354248	482.262768	710655.96	660239.24	126.28223	971	1911.971924	798.843811	0	1	2	1.01	1.00335	16	False	1941	645.354248	963.518256	1	2	14	21	645.354	963.518	644.3467	962.5107		
689.374307	460.254049	3258616.7	3219443.9	156.30633	521	3346.073486	1506.11792	0	1	2	1.01	1.00335	16	False	1040	689.374307	919.500818	1	2	15	20	689.374	919.501	688.3667	918.4937		
529.270973	540.804661	5808763.1	5065202.4	194.44411	230	1108.264771	29821.267578	2	1	2	2.013	2.0067	5	False	459	529.270973	1080.602042	1	2	9	27	528.269	1079.599	527.2617	1078.5917	0.9954	0.9725
300.156407	655.362039	38377238.0	30956076.0	419.96469	44	33528.605469	9481.617188	2	1	2	2.013	2.0067	5	False	87	300.156407	1309.716798	1	2	2	31	300.156	1307.711	299.1487	1306.7037	0.9957	0.9643
528.268562	541.306032	3965593.0	3469036.4	172.40543	366	5624.222656	4290.990234	2	1	2	2.013	2.0067	5	False	731	528.268562	1081.6047839999999	1	2	9	27	528.269	1079.599	527.2617	1078.5917	0.9954	0.9725
301.159861	654.860832	15693812.0	11968919.0	265.64883	87	2384.458984	48794.230469	2	1	2	2.013	2.0067	5	False	173	301.159861	1308.7143839999999	1	2	2	31	300.156	1307.711	299.1487	1306.7037	0.9957	0.9643
1008.563901	301.159861	3648335.0	3075845.6	202.09038	193	9142.976563	2384.458984	2	1	2	2.013	2.0067	5	False	384	1008.563901	601.3124419999999	1	2	24	12	1008.564	601.312	1007.5567	600.3047	0.9817	
429.1995	540.30326	44225812.0	37867784.0	538.93573	28	3445.552979	81014.875	3	1	2	-99.063	-99.069	5	False	55	429.1995	1079.59924	1	2	6	27	429.2	1079.599	428.1927	1078.5917		0.9725
201.087675	654.359227	14937832.0	12864929.0	315.89419	67	1032.938354	108949.34375	3	1	2	-99.063	-99.069	5	False	132	201.087675	1307.711174	1	2	0	31	201.088	1307.711	200.0807	1306.7037		0.9643
401.288604	554.258768	9359177.6	8786286.2	422.41763	42	7515.183105	2905.465332	3	1	2	-99.063	-99.069	5	False	83	401.288604	1107.510256	1	2	4	28	401.289	1107.51	400.2817	1106.5027		0.9819
316.114992	596.845575	15212923.0	11166266.0	197.28109	214	3013.229492	61967.726563	3	1	2	-99.063	-99.069	5	False	426	316.114992	1192.68387	1	2	3	29	316.115	1192.684	315.1077	1191.6767		0.9813
500.237156	504.784561	15315214.0	13897635.0	341.05157	60	1889.202759	31507.433594	3	1	2	-99.063	-99.069	5	False	118	500.237156	1008.561842	1	2	7	23	500.237	1008.562	499.2297	1007.5547		0.9807
