m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	charge_B	line_deviation	line_residual	parent_isotope_idx	component_A	component_B	monoisotopic_mass_A	deconvoluted_mz_A	envelope_id_A	monoisotopic_mass_B	deconvoluted_mz_B	envelope_id_B	adj_mass_A	adj_mass_B
654.359227	476.273741	-6945827.9	-41535717.0	-211.1734	13841	1	2	1.0	0.09329100000013568	0	654.359227	952.547482	653.3519	654.3592	27	950.5329	476.2737	24	654.359227	951.539642
654.359227	476.775123	4061121.8	-8105450.9	-75.516551	10320	1	2	0.0	0.09052699999983815	0	654.359227	953.550246	653.3519	654.3592	10	950.5329	476.2737	4	654.359227	952.542406
654.359227	951.541865	-1106425.9	-10041404.0	-106.67744	11556	1	1	2.0	0.0989079999999376	0	654.359227	951.541865	653.3519	654.3592	34	950.5346	951.5419	35	654.359227	951.541865
654.359227	952.544553	1988443.6	-1674281.8	-32.23144	8291	1	1	1.0	0.09621999999990294	0	654.359227	952.544553	653.3519	654.3592	20	950.5346	951.5419	21	654.359227	952.544553
655.362039	476.273741	3574796.6	833359.31	13.790969	5509	1	2	0.0	0.09047899999995934	0	655.362039	952.547482	653.3519	654.3592	10	950.5329	476.2737	4	655.362039	951.539642
655.362039	951.541865	-1796828.2	-2504973.9	-93.191663	11051	1	1	1.0	0.09609599999998863	0	655.362039	951.541865	653.3519	654.3592	20	950.5346	951.5419	21	655.362039	951.541865
655.362039	952.544553	2391125.1	2100834.2	107.75736	1450	1	1	0.0	0.09340800000018135	0	655.362039	952.544553	654.3548	655.362	1	951.5373	952.5446	2	655.362039	952.544553
659.353388	288.204002	-382724.34	-431925.88	-67.755922	9995	2	1	1.0	0.08922200000006342	0	1318.706776	288.204002	1316.6922	659.3534	30	287.1967	288.204	29	1317.698936	288.204002
666.887703	272.161442	-469913.8	-502994.74	-165.90408	13132	2	1	2.0	0.06315199999994547	0	1333.775406	272.161442	1331.7608	666.8877	41	271.1542	272.1614	40	1332.767566	272.161442
667.389809	272.161442	-255490.14	-307097.25	-58.054047	9556	2	1	1.0	0.05893999999989319	0	1334.779618	272.161442	1332.7651	667.3898	31	271.1542	272.1614	28	1333.771778	272.161442
667.887312	272.161442	224543.21	179653.96	27.623308	4773	2	1	0.0	0.06393400000001748	0	1335.774624	272.161442	1333.7601	667.8873	17	271.1542	272.1614	11	1334.766784	272.161442
951.541865	654.359227	-1106425.9	-10041404.0	-106.67744	11556	1	1	2.0	0.0989079999999376	0	951.541865	654.359227	950.5346	951.5419	35	653.3519	654.3592	34	951.541865	654.359227
951.541865	655.362039	-1796828.2	-2504973.9	-93.191663	11051	1	1	1.0	0.09609599999998863	0	951.541865	655.362039	950.5346	951.5419	21	653.3519	654.3592	20	951.541865	655.362039
952.544553	654.359227	1988443.6	-1674281.8	-32.23144	8291	1	1	1.0	0.09621999999990294	0	952.544553	654.359227	950.5346	951.5419	21	653.3519	654.3592	20	952.544553	654.359227
952.544553	655.362039	2391125.1	2100834.2	107.75736	1450	1	1	0.0	0.09340800000018135	0	952.544553	655.362039	951.5373	952.5446	2	654.3548	655.362	1	952.544553	655.362039
1008.563901	597.346987	-1844786.3	-6552186.5	-99.007981	11264	1	1	2.0	0.08911200000011377	0	1008.563901	597.346987	1007.5566	1008.5639	36	596.3397	597.347	33	1008.563901	597.346987
1009.566717	597.346987	309672.17	-1896376.7	-50.547998	9175	1	1	1.0	0.08629599999994753	0	1009.566717	597.346987	1008.5594	1009.5667	22	596.3397	597.347	19	1009.566717	597.346987
1204.639002	401.288604	2136735.1	1977179.5	144.55271	655	1	1	2.0	0.07239400000003116	0	1204.639002	401.288604	1203.6317	1204.639	37	400.2813	401.2886	32	1204.639002	401.288604
1204.639002	402.292021	-570240.96	-585130.07	-165.82276	13130	1	1	1.0	0.06897700000013174	0	1204.639002	402.292021	1203.6317	1204.639	23	400.2813	401.2886	18	1204.639002	402.292021
1205.641873	401.288604	720091.05	528369.67	52.655168	3528	1	1	1.0	0.06952299999989009	0	1205.641873	401.288604	1203.6317	1204.639	23	400.2813	401.2886	18	1205.641873	401.288604
1205.641873	402.292021	56360.712	38470.028	12.153896	5596	1	1	0.0	0.06610599999999067	0	1205.641873	402.292021	1204.6346	1205.6419	3	401.2847	402.292	0	1205.641873	402.292021
