m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	intensity A	intensity B
554.2588	500.3575	12599756.0	12131174.0	509.88637	34	2905.465332	7123.803223
599.3058	504.7846	13017136.0	12710676.0	504.8385	35	2404.958496	10414.665039
504.7846	599.3058	13017136.0	12710676.0	504.8385	35	10414.665039	2404.958496
425.7076	757.4601	5494036.1	5480694.2	504.10249	36	750.10376	3421.105713
757.4601	425.7076	5494036.1	5480694.2	504.10249	36	3421.105713	750.10376
622.2969	757.4601	3024331.3	3002347.8	483.55703	37	1524.513184	906.667358
757.4601	622.2969	3024331.3	3002347.8	483.55703	37	906.667358	1524.513184
371.1938	1008.5639	5265128.6	5062264.0	483.27842	38	2637.109131	3074.820557
1008.5639	371.1938	5265128.6	5062264.0	483.27842	38	3074.820557	2637.109131
504.7846	482.2264	16589566.0	15280650.0	465.01442	39	31507.433594	1459.11792
482.2264	504.7846	16589566.0	15280650.0	465.01442	39	1459.11792	31507.433594
629.4008	750.3565	2905221.3	2867910.8	433.46281	40	1328.932983	1653.093994
750.3565	629.4008	2905221.3	2867910.8	433.46281	40	1653.093994	1328.932983
504.7846	486.2212	11553510.0	10983187.0	430.22235	41	31507.433594	888.852783
486.2212	504.7846	11553510.0	10983187.0	430.22235	41	888.852783	31507.433594
554.2588	401.2886	9359177.6	8786286.2	422.41763	42	2905.465332	7515.183105
401.2886	554.2588	9359177.6	8786286.2	422.41763	42	7515.183105	2905.465332
316.115	1079.6018	5439577.4	5150276.1	420.85505	43	3013.229492	4105.001465
1079.6018	316.115	5439577.4	5150276.1	420.85505	43	4105.001465	3013.229492
654.3592	300.1564	38377238.0	30956076.0	419.96469	44	9481.617188	33528.605469
300.1564	654.3592	38377238.0	30956076.0	419.96469	44	33528.605469	9481.617188
1008.5639	300.1564	29964863.0	23470978.0	417.0046	45	9142.976563	33528.605469
300.1564	1008.5639	29964863.0	23470978.0	417.0046	45	33528.605469	9142.976563
1008.5639	500.2372	7213199.7	6870218.2	414.41006	46	9142.976563	1889.202759
500.2372	1008.5639	7213199.7	6870218.2	414.41006	46	1889.202759	9142.976563
951.5419	428.2156	2340900.7	2310743.3	412.89219	47	1306.884277	1113.214722
428.2156	951.5419	2340900.7	2310743.3	412.89219	47	1113.214722	1306.884277
187.072	596.8456	16964459.0	15695268.0	410.93859	48	973.5578	61967.726563
596.8456	187.072	16964459.0	15695268.0	410.93859	48	61967.726563	973.5578
596.8456	415.1839	21470963.0	18389750.0	395.01794	49	61967.726563	1903.160034
415.1839	596.8456	21470963.0	18389750.0	395.01794	49	1903.160034	61967.726563
504.7846	411.189	17170940.0	14933412.0	389.79488	50	31507.433594	2833.304199
411.189	504.7846	17170940.0	14933412.0	389.79488	50	2833.304199	31507.433594
537.28	814.482	5469761.6	5256600.2	384.99377	51	2511.427002	5392.56543
814.482	537.28	5469761.6	5256600.2	384.99377	51	5392.56543	2511.427002
554.2588	500.3575	5832654.0	5750326.6	381.96776	52	1102.149048	7123.803223
500.3575	554.2588	5832654.0	5750326.6	381.96776	52	7123.803223	1102.149048
401.2045	1079.6018	3897745.2	3757700.2	378.98784	53	1218.325195	4105.001465
1079.6018	401.2045	3897745.2	3757700.2	378.98784	53	4105.001465	1218.325195
500.3575	879.3997	2691619.0	2623094.1	365.89651	54	1174.901367	2645.866943
879.3997	500.3575	2691619.0	2623094.1	365.89651	54	2645.866943	1174.901367
540.3033	398.2324	13370051.0	12902195.0	363.7964	55	81014.875	941.856201
398.2324	540.3033	13370051.0	12902195.0	363.7964	55	941.856201	81014.875
486.2212	504.7846	5367992.3	5223031.8	358.29565	56	888.852783	10414.665039
504.7846	486.2212	5367992.3	5223031.8	358.29565	56	10414.665039	888.852783
