m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking	charge_A	envelope_id_A	monoisotopic_mass_A	deconvoluted_mz_A	charge_B	envelope_id_B	monoisotopic_mass_B	deconvoluted_mz_B
156.102426	495.779102	117516.28	90823.823	29.262687	4676	1	157	155.0951	156.1024	1	6426	494.7718	495.7791
156.102426	497.264778	16316.811	-15395.497	-3.3927065	6800	1	158	155.0951	156.1024	1	6563	496.2575	497.2648
156.102426	500.237156	307205.74	255669.43	73.31026	2611	1	159	155.0951	156.1024	1	6704	499.2299	500.2372
156.102426	500.273383	-907791.65	-1010779.2	-197.40374	13656	1	160	155.0951	156.1024	1	6908	499.2661	500.2734
156.102426	500.357482	183878.13	29860.482	3.9540474	6041	1	161	155.0951	156.1024	1	7102	499.3502	500.3575
156.102426	501.360683	190580.29	148674.83	54.115111	3454	1	162	155.0951	156.1024	1	7106	499.3502	500.3575
156.102426	503.268414	182586.87	125757.19	15.073956	5429	1	163	155.0951	156.1024	3	7298	1506.7834	1507.7907
156.102426	503.602581	-249848.8	-268123.42	-79.544074	10498	1	164	155.0951	156.1024	3	7272	1506.7834	1507.7907
156.102426	504.784561	-1188180.7	-2151641.0	-115.06191	11809	1	173	155.0951	156.1024	2	7436	1007.5546	1008.5618
156.102426	505.285893	450113.59	205228.32	14.577431	5460	1	166	155.0951	156.1024	2	7413	1007.5546	1008.5618
156.102426	505.787346	-269369.18	-304628.18	-86.221071	10779	1	167	155.0951	156.1024	2	7427	1007.5546	1008.5618
156.102426	510.25783	247129.12	216355.68	66.961956	2872	1	168	155.0951	156.1024	1	7604	509.2506	510.2578
156.102426	517.276486	27960.749	-850.37323	-0.14322559	6636	1	169	155.0951	156.1024	1	7828	516.2692	517.2765
156.102426	521.297717	654894.15	595165.76	104.09366	1542	1	170	155.0951	156.1024	3	7921	1560.8713	1561.8786
156.102426	521.631926	69122.03	46563.831	11.882414	5620	1	171	155.0951	156.1024	3	7976	1560.8713	1561.8786
156.102426	524.284538	-591855.83	-592523.13	-105.34816	11504	1	172	155.0951	156.1024	3	8095	1569.8318	1570.8391
156.102426	524.616921	-244581.45	-233536.58	-49.673729	9137	1	154	155.0951	156.1024	3	8109	1569.8318	1570.8391
156.102426	524.951635	-397960.48	-408981.26	-180.08671	13397	1	156	155.0951	156.1024	3	8124	1569.8318	1570.8391
156.102426	528.268562	-804376.16	-954878.44	-162.8776	13061	1	152	155.0951	156.1024	1	8344	527.2613	528.2686
156.102426	529.270973	-202480.38	-229553.89	-99.351036	11278	1	141	155.0951	156.1024	1	8348	527.2613	528.2686
156.102426	530.2879	2072314.2	2009921.9	108.77471	1419	1	133	155.0951	156.1024	1	8323	527.2613	528.2686
156.102426	530.621016	-520362.31	-529723.82	-42.040554	8780	1	134	155.0951	156.1024	3	8493	1588.8412	1589.8485
156.102426	530.954686	-22773.589	-193213.94	-24.480339	7918	1	135	155.0951	156.1024	3	8448	1588.8412	1589.8485
156.102426	531.286332	-430970.38	-536739.81	-94.595204	11100	1	136	155.0951	156.1024	1	8332	527.2613	528.2686
156.102426	531.297907	2235068.8	2212339.8	256.74706	97	1	137	155.0951	156.1024	3	8449	1588.8412	1589.8485
156.102426	531.621297	48029.991	18162.575	3.7821077	6059	1	138	155.0951	156.1024	3	8479	1588.8412	1589.8485
156.102426	531.794223	526250.67	458953.8	75.910878	2499	1	153	155.0951	156.1024	1	8647	530.7869	531.7942
156.102426	532.294456	102235.61	74805.173	21.074546	5114	1	139	155.0951	156.1024	1	8279	527.2613	528.2686
156.102426	535.850077	-201820.0	-229671.7	-90.110353	10938	1	140	155.0951	156.1024	3	8798	1604.5284	1605.5357
156.102426	535.955778	-322001.48	-345542.69	-92.475321	11023	1	142	155.0951	156.1024	3	8983	1604.8455	1605.8528
156.102426	536.182618	242909.63	204481.97	34.327356	4421	1	151	155.0951	156.1024	3	8850	1604.5284	1605.5357
156.102426	536.242818	0.0	0.0	0.0	6460	1	143	155.0951	156.1024	1	9141	535.2355	536.2428
156.102426	536.291421	-1967463.9	-2656546.1	-54.724245	9381	1	144	155.0951	156.1024	3	9038	1604.8455	1605.8528
156.102426	536.625725	6881735.4	6490180.3	154.49793	537	1	145	155.0951	156.1024	3	8977	1604.8455	1605.8528
156.102426	536.959897	2163843.9	1423983.4	72.893023	2628	1	146	155.0951	156.1024	3	9018	1604.8455	1605.8528
156.102426	537.279979	-157051.07	-232593.99	-55.184709	9398	1	147	155.0951	156.1024	3	9034	1604.8455	1605.8528
156.102426	540.30326	843505.95	-1513769.5	-49.127948	9109	1	148	155.0951	156.1024	2	9394	1078.592	1079.5992
156.102426	540.804661	471138.75	-490854.35	-22.678052	7812	1	132	155.0951	156.1024	2	9372	1078.592	1079.5992
156.102426	541.306032	1177049.8	1061485.0	123.28018	1038	1	150	155.0951	156.1024	2	9339	1078.592	1079.5992
156.102426	554.258768	1281602.3	1175037.2	139.87336	729	1	88	155.0951	156.1024	2	9559	1106.503	1107.5103
156.102426	554.760058	-283096.55	-301819.49	-111.04369	11696	1	111	155.0951	156.1024	2	9471	1106.503	1107.5103
156.102426	565.275177	-149399.79	-332704.04	-43.643236	8864	1	86	155.0951	156.1024	1	9698	564.2679	565.2752
156.102426	566.278227	-270372.22	-309430.37	-101.3444	11353	1	42	155.0951	156.1024	1	9712	564.2679	565.2752
