m/z A	m/z B	Covariance	Partial Cov.	Score	Ranking
596.8456	187.072	16964459.0	15695268.0	410.93859	48
596.8456	415.1839	21470963.0	18389750.0	395.01794	49
415.1839	596.8456	21470963.0	18389750.0	395.01794	49
504.7846	411.189	17170940.0	14933412.0	389.79488	50
411.189	504.7846	17170940.0	14933412.0	389.79488	50
535.9558	814.482	5469761.6	5256600.2	384.99377	51
814.482	535.9558	5469761.6	5256600.2	384.99377	51
554.2588	500.3575	5832654.0	5750326.6	381.96776	52
500.3575	554.2588	5832654.0	5750326.6	381.96776	52
401.2045	1079.6018	3897745.2	3757700.2	378.98784	53
1079.6018	401.2045	3897745.2	3757700.2	378.98784	53
500.3575	879.3997	2691619.0	2623094.1	365.89651	54
879.3997	500.3575	2691619.0	2623094.1	365.89651	54
540.3033	398.2324	13370051.0	12902195.0	363.7964	55
398.2324	540.3033	13370051.0	12902195.0	363.7964	55
486.2212	504.7846	5367992.3	5223031.8	358.29565	56
504.7846	486.2212	5367992.3	5223031.8	358.29565	56
415.1839	540.3033	21077869.0	17312050.0	353.9552	57
540.3033	415.1839	21077869.0	17312050.0	353.9552	57
540.3033	528.2686	16135360.0	14313333.0	349.48618	58
528.2686	540.3033	16135360.0	14313333.0	349.48618	58
272.1614	1008.5639	3985343.1	3824188.8	346.58071	59
1008.5639	272.1614	3985343.1	3824188.8	346.58071	59
500.2372	504.7846	15315214.0	13897635.0	341.05157	60
504.7846	500.2372	15315214.0	13897635.0	341.05157	60
401.2886	603.7931	4666969.1	4393455.1	340.37291	61
603.7931	401.2886	4666969.1	4393455.1	340.37291	61
951.5419	629.4008	7265425.4	6877723.4	339.6091	62
629.4008	951.5419	7265425.4	6877723.4	339.6091	62
397.1966	814.482	6746229.0	6471866.2	332.31445	63
814.482	397.1966	6746229.0	6471866.2	332.31445	63
401.2886	978.4691	1782232.1	1755304.4	331.41654	64
978.4691	401.2886	1782232.1	1755304.4	331.41654	64
411.189	504.7846	8310674.3	7741955.8	330.50731	65
504.7846	411.189	8310674.3	7741955.8	330.50731	65
428.2156	540.3033	16694608.0	14099926.0	317.24568	66
540.3033	428.2156	16694608.0	14099926.0	317.24568	66
201.0877	653.8751	14937832.0	12864929.0	315.89419	67
653.8751	201.0877	14937832.0	12864929.0	315.89419	67
540.3033	316.115	14025722.0	12007376.0	314.70146	68
316.115	540.3033	14025722.0	12007376.0	314.70146	68
